gram,counts
covid 19,1857560
coronavirus outbreak,596717
coronavirus covid19,482416
coronavirus pandemic,424509
coronavirus cases,360891
covid19 coronavirus,344631
via youtube,319903
due coronavirus,256474
novel coronavirus,251207
new york,249719
death toll,240705
new coronavirus,233379
amid coronavirus,232890
19 pandemic,223635
stay home,218272
coronavirus crisis,211399
coronavirus covid,211369
china coronavirus,202650
coronavirus via,187206
coronavirus china,185947
social distancing,184276
new cases,176849
il coronavirus,171688
corona virus,171218
positive coronavirus,162723
du coronavirus,156758
spread coronavirus,155865
wuhan coronavirus,155650
coronavirus death,149348
confirmed cases,149126
casos coronavirus,145783
news coronavirus,145347
bbc news,143625
fight coronavirus,140716
tested positive,139187
cruise ship,138088
coronavirus lockdown,135636
public health,132331
href rel,131252
rel nofollow,131249
19 cases,131247
gon na,130979
true href,128586
cases coronavirus,127682
wuhan china,125697
south korea,122563
coronavirus fears,120581
hong kong,117078
stay safe,115887
donald trump,115458
coronavirus patients,113535
nofollow twitter,112079
white house,108472
coronavirus deaths,108362
covid19 pandemic,107119
live updates,106904
united states,103799
coronavirus response,102399
caso coronavirus,102050
19 crisis,101925
fake news,96949
coronavirus wuhan,95152
coronavirus spread,94102
gt gt,93923
president trump,91450
coronavirus live,90478
crisis coronavirus,90058
due covid,89265
tests positive,88460
year old,87241
get coronavirus,87173
coronavirus update,86711
pandemia coronavirus,83304
boris johnson,83004
2019 ncov,82754
task force,81663
case coronavirus,81585
health care,81575
coronavirus vaccine,81210
coronavirus covid_19,80960
trump coronavirus,80304
19 outbreak,79694
nuevo coronavirus,79245
world health,79093
coronavirus case,78995
casos confirmados,78915
many people,76711
coronavirus vía,75825
sign petition,75395
19 patients,75181
19 coronavirus,75155
fight covid19,74686
twitter web,73139
around world,72686
coronavirus could,72619
test positive,72601
covid_19 coronavirus,72525
covidー19 coronavirus,72288
virus coronavirus,72085
wuhan virus,71653
fox news,69820
nuevos casos,67928
first coronavirus,67486
looks like,67250
response coronavirus,66442
infected coronavirus,66321
fight covid,66064
coronavirus spreads,65375
positive covid,64715
bill gates,64688
primer caso,64554
coronavirus covidー19,64496
19 via,64326
coronavirus coronavirus,64256
social media,63768
york times,63627
web app,63070
petition via,62277
coronavirus coronavirusoutbreak,62158
coronavirus quarantine,61969
us coronavirus,61077
covid19 cases,60272
due covid19,60033
good news,59901
coronavirus il,59831
coronavirus testing,59789
health organization,58904
wash hands,58582
diamond princess,57988
amid covid,57938
people died,57754
coronavirus 2019,57347
qu il,57097
100 000,56348
health officials,56124
muertos coronavirus,56014
10 000,55957
est pas,55216
face masks,55162
coronavirus test,54961
prime minister,54702
coronavirus epidemic,54370
coronavirus sars,54285
health emergency,54244
outside china,53715
says coronavirus,53280
spread covid19,53181
000 people,53087
first case,52337
coronavirus disease,52273
het coronavirus,52262
like coronavirus,51561
death rate,51135
help us,51096
coronavirus us,51081
trump administration,50465
died coronavirus,49840
daily thanks,49675
coronavirus relief,49542
per il,49360
save lives,49353
sars cov,49085
need know,49076
19 virus,48867
last week,48600
coronavirus si,48482
coronavirus italia,48478
24 hours,48450
coronavirus task,48052
healthcare workers,48026
covid19 covid_19,47774
stop spread,47512
cure coronavirus,47423
make sure,47252
every day,47231
casos covid,47088
au coronavirus,47086
19 deaths,47082
covid19 crisis,46903
coronavirus news,46835
mental health,46317
coronavirus may,46190
two weeks,45830
coronavirus concerns,45795
19 lockdown,45776
spread covid,45758
coronavirus covid2019,45178
die coronavirus,45012
wan na,44856
brote coronavirus,44757
april 2020,44423
si coronavirus,44221
impact coronavirus,44132
coronavirus new,43959
coronavirus hit,43953
new deaths,43788
dies coronavirus,43703
covid_19 covid19,43321
first time,43277
coronavirus infection,43258
take care,43193
cases covid,43111
di coronavirus,43069
confirmed coronavirus,43015
people dying,42805
at home,42492
virus corona,42420
19 di,42413
trump says,42403
million people,42298
coronavirus trump,42164
people coronavirus,42074
china wuhan,42052
coronavirus corona,41991
coronavirus spreading,41878
coronavirus impact,41790
corona coronavirus,41699
people die,41570
breaking news,41478
coronavirus patient,41412
stock market,41393
coronavirus infections,41110
health minister,40707
go back,40655
coronavirus virus,40437
coronavirus symptoms,40421
deadly coronavirus,40415
positivo coronavirus,40171
via mailonline,40163
19 response,39976
see details,39966
penyebaran covid,39965
test kits,39930
24 horas,39572
virus covid,39504
gt virus,39026
coronavirus españa,38997
total number,38901
god bless,38825
coronavirus est,38657
know coronavirus,38509
sars flu,38443
washington post,38302
got coronavirus,38282
positive cases,38182
โคว ด19,38033
coronavirus updates,37804
contre coronavirus,37791
global pandemic,37645
press conference,37632
details gt,37315
toll rises,37212
da coronavirus,37174
dr fauci,37156
weeks ago,37133
coronavirus argentina,37131
di wuhan,37043
ee uu,36976
cases covid19,36919
14 days,36848
please help,36817
would like,36773
coronavirus amp,36741
