gram,counts
covid 19 pandemic,222857
coronavirus covid 19,183073
href rel nofollow,131249
covid 19 cases,129913
true href rel,128585
rel nofollow twitter,112079
covid 19 crisis,101738
coronavirus death toll,88374
due covid 19,87122
bbc news coronavirus,85588
covid 19 outbreak,79489
covid 19 patients,74753
nofollow twitter web,73056
covid 19 coronavirus,72244
coronavirus live updates,66484
covid 19 via,63858
new york times,63466
fight covid 19,63257
positive covid 19,62975
twitter web app,62513
sign petition via,61332
amid coronavirus outbreak,61118
amid covid 19,57590
world health organization,56787
tested positive coronavirus,55372
new coronavirus cases,53191
tests positive coronavirus,51508
coronavirus 2019 ncov,48389
covid 19 virus,48238
coronavirus task force,47230
casos covid 19,46125
covid 19 deaths,45597
covid 19 lockdown,45585
spread covid 19,44385
covid 19 di,42300
cases covid 19,42129
amid coronavirus pandemic,40610
covid 19 response,39861
primer caso coronavirus,38794
gt virus coronavirus,38713
coronavirus sars flu,38163
virus coronavirus sars,38155
virus covid 19,37348
see details gt,36963
details gt virus,36944
penyebaran covid 19,36072
covid 19 testing,35640
deliver copy officials,35454
copy officials last,35452
officials last delivered,35452
response covid 19,34578
du covid 19,34353
pandemi covid 19,34307
new covid 19,34217
gt gt gt,33891
death toll rises,33784
new cases coronavirus,33543
covid 19 death,32430
stay at home,32260
sars flu china,32090
nofollow twitter android,31977
test positive coronavirus,31628
pandemia covid 19,31381
new york city,31204
covid 19 test,31011
terdampak covid 19,30893
covid 19 update,30270
covid 19 relief,29878
coronavirus via youtube,29731
due coronavirus outbreak,29500
flu china trump,27676
health care workers,26511
public health emergency,25968
memerangi covid 19,25721
pasien covid 19,25639
covid 19 vaccine,24957
nuevos casos coronavirus,24865
2019 novel coronavirus,24552
petition via change,24447
per il coronavirus,23923
confirmed coronavirus cases,23904
da covid 19,23893
yang terdampak covid,23618
impact covid 19,23229
confirmed cases coronavirus,22606
first case coronavirus,22363
covid 19 vía,22280
petition via ukchange,22205
tested positive covid,22108
amid coronavirus crisis,21689
bakti sosial untuk,21671
novel coronavirus 2019,21483
covid 19 situation,21380
died covid 19,21269
usps deliver copy,21136
support usps deliver,21113
signing support usps,21112
masyarakat yang terdampak,21049
últimas 24 horas,20996
covid 19 yang,20253
crisis covid 19,19914
stay home stay,19876
coronavirus disease 2019,19836
global health emergency,19795
mobile world congress,19672
amid coronavirus fears,19639
president donald trump,19174
china coronavirus outbreak,18847
confirmed covid 19,18778
coronavirus outbreak china,18684
covid 19 case,18253
jenazah pasien covid,18044
first coronavirus death,17850
covid 19 tests,17787
first coronavirus case,17758
stop spread coronavirus,17615
untuk ringankan beban,17607
covid 19 patient,17595
sosial untuk ringankan,17593
rantai covid 19,17421
ringankan beban masyarakat,17347
covid 19 amp,17328
coronavirus outbreak via,17099
gelar bakti sosial,17096
beban masyarakat yang,17082
covid 19 spread,17025
cause du coronavirus,16964
wabah covid 19,16919
covid 19 dan,16753
get covid 19,16730
positif covid 19,16603
casos confirmados coronavirus,16556
home stay safe,16542
covid 19 positive,16539
due coronavirus pandemic,16515
2019 covid 19,16499
covid 19 ini,16438
polri gelar bakti,16158
covid 19 polmascegahcovid19,15885
number coronavirus cases,15824
covid 19 related,15794
covid 19 symptoms,15783
coronavirus pandemic via,15738
cari amici siamo,15595
diamond princess cruise,15505
voi covid19 westandwithitaly,15465
amici siamo voi,15444
siamo voi covid19,15434
fighting covid 19,15417
covid_19 prior jorge,15260
cdtv covid_19 prior,15260
white house coronavirus,15117
covid 19 baksospolripeduli,15101
cruise ship japan,14910
face au coronavirus,14897
prior jorge babu,14896
jorge babu manu,14894
epoch times app,14802
dies covid 19,14694
covid cdtv covid_19,14670
coronavirus new york,14652
penanganan covid 19,14618
at home order,14600
last 24 hours,14562
babu manu foraprior,14464
crise du coronavirus,14442
tests positive covid,14353
manu foraprior david,14311
disease 2019 covid,14302
com covid 19,14007
article amp reuters,13988
tested positive covid19,13976
princess cruise ship,13974
posible caso coronavirus,13843
help fight coronavirus,13744
suho bizbizeyeteriz covid,13714
david mike lindell,13711
covid 19 sign,13571
please stay home,13514
disease covid 19,13507
coronavirus cases rise,13506
positivo covid 19,13495
time covid 19,13457
number covid 19,13305
au covid 19,13301
organización mundial salud,13291
death toll coronavirus,13259
trying times share,13199
family cari amici,13190
foraprior david mike,13137
mike lindell made,13127
trump suho bizbizeyeteriz,13124
colleagues friends family,13123
support italian friends,13078
times share support,13077
italy trying times,13075
contre covid 19,13074
share support italian,13074
stand italy trying,13071
friends colleagues friends,13071
italian friends colleagues,13070
friends family cari,13060
covid 19 infection,12931
affected covid 19,12931
bbc news mundo,12927
prevent spread coronavirus,12903
case covid 19,12888
covid 19 dengan,12821
lindell made pillow,12813
deaths covid 19,12715
die covid 19,12714
covid 19 treatment,12708
19 sign petition,12692
covid 19 covid19,12553
coronavirus cruise ship,12540
treat covid 19,12525
first covid 19,12509
novel coronavirus outbreak,12504
help slow spread,12502
test covid 19,12484
pacientes covid 19,12413
slow spread covid19,12351
us covid 19,12303
china amid coronavirus,12281
covid 19 em,12190
people covid 19,12132
quarantined cruise ship,12112
combat covid 19,12027
number confirmed cases,11910
test positive covid,11906
personal protective equipment,11897
corona covid 19,11786
world health organisation,11785
che il coronavirus,11767
cegah covid 19,11742
infected covid 19,11729
cure covid 19,11542
confirmed cases covid19,11437
covid 19 could,11416
trump coronavirus response,11411
update covid 19,11406
post covid 19,11353
get well soon,11328
jenazah covid 19,11276
covid 19 emergency,11187
coronavirus hong kong,11180
sa covid 19,11170
mencegah penyebaran covid,11132
covid self_portrait covid19,11124
contro il coronavirus,11092
covid 19 impact,11089
wni dari wuhan,10998
covid 19 mari,10996
coronavirus disease covid,10884
pour lutter contre,10860
coronavirus cases confirmed,10818
muertes covid 19,10791
confirmed case coronavirus,10788
stay home order,10762
human to human,10700
chinese communist party,10694
act deliver copy,10651
at home orders,10642
death toll hits,10639
person to person,10632
aarogya setu app,10623
bizbizeyeteriz covid self_portrait,10618
fight covid19 please,10613
must act deliver,10602
signing must act,10600
twitter web client,10594
news mundo coronavirus,10589
โคว ด19 covid19,10558
นธ ใหม 2019,10550
covid 19 baksostnipolriutknegeri,10533
ce est pas,10527
covid 19 may,10520
letslovesuho trump suho,10393
19 death toll,10387
tested covid 19,10289
covid 19 fight,10263
case coronavirus confirmed,10263
19 via youtube,10247
muertos coronavirus china,10174
new cases covid,10144
coronavirus relief bill,10128
new york state,10099
like covid 19,10048
pillow letslovesuho trump,10019
dr anthony fauci,9993
know covid 19,9966
cases novel coronavirus,9966
go back work,9946
china hubei province,9903
firma petición vía,9887
postponed due coronavirus,9856
gon na get,9816
mata rantai covid,9798
made pillow letslovesuho,9787
even feel well,9705
coronavirus case confirmed,9696
caso sospechoso coronavirus,9682
self reporting symptoms,9680
symptoms daily even,9662
risk cases sooner,9660
daily even feel,9648
reporting symptoms daily,9643
positivos covid 19,9641
identify risk cases,9633
sooner self reporting,9626
il coronavirus non,9624
cases sooner self,9623
battle covid 19,9619
confirmados covid 19,9610
covid19 coronavirus ukraine,9608
spread covid19 identify,9599
covid19 please download,9598
covid19 identify risk,9595
confirma primer caso,9585
app fight covid19,9555
covid 19 corona,9551
total confirmed cases,9538
treatment covid 19,9530
van het coronavirus,9522
feel well download,9483
download epoch times,9472
death toll passes,9454
covid 19 new,9450
adalah bentuk partisipasi,9433
muertos covid 19,9432
well download app,9429
help stop spread,9420
exclusive coronavirus coverage,9416
please download share,9413
covid19 โคว ด19,9411
download share using,9375
share using link,9360
ne sont pas,9346
coronavirus coverage daily,9321
year old man,9319
people stay home,9317
confirmed cases covid,9314
caso covid 19,9308
see exclusive coronavirus,9302
app see exclusive,9301
times app see,9298
coverage daily updates,9284
setu app fight,9251
coronavirus test kits,9245
regarding covid 19,9239
covid 19 updates,9235
covid 19 quarantine,9219
south china morning,9208
covid 19 país,9192
coronavirus sars cov,9186
help covid 19,9185
affected novel coronavirus,9170
frente covid 19,9159
people tested positive,9140
recommend aarogya setu,9129
china morning post,9114
covid 19 méxico,9109
casos positivos coronavirus,9108
novel coronavirus covid,9030
coronavirus wuhan china,9002
coronavirus crisis via,8997
trump coronavirus task,8970
live updates china,8946
china due coronavirus,8936
new confirmed cases,8929
related covid 19,8927
chief medical officer,8923
casos confirmados covid,8923
cases outside china,8820
casi di coronavirus,8806
many cases china,8802
practice social distancing,8801
new coronavirus deaths,8764
long term care,8764
countries affected novel,8759
new cases covid19,8734
response coronavirus pandemic,8734
current covid 19,8719
due coronavirus concerns,8700
coronavirus covid19 coronavirusoutbreak,8670
coronavirus south korea,8628
contagios covid 19,8616
prime minister boris,8607
minister boris johnson,8579
survive see details,8550
new post coronavirus,8547
nyt new york,8545
covid 19 world,8542
via nyt new,8521
cases coronavirus confirmed,8516
need know coronavirus,8514
deputy health minister,8487
covid 19 jiwakemanusiaanpolri,8461
covid 19 restrictions,8423
untuk mencegah penyebaran,8408
using link android,8401
pandemic covid 19,8399
coronavirus coronavirus coronavirus,8398
trump covid 19,8387
casos sospechosos coronavirus,8365
people died coronavirus,8337
testing positive coronavirus,8328
lawan covid 19,8327
covid 19 news,8310
covid 19 infections,8300
nuevos casos covid,8295
coronavirus boris johnson,8275
home covid 19,8275
health care system,8268
signez pétition via,8267
si mata coronavirus,8264
covid 19 epidemic,8256
coronavirus sign petition,8250
cancelled due coronavirus,8241
covid 19 china,8218
stay safe everyone,8197
19 di indonesia,8162
death outside china,8143
