,date,state,population,coronavirus,covid19,covid,19,nan,people,via,china,amp,trump,virus,pandemic,us,cases,new,news,like,get,wuhan,one,health,di,world,si,time,il,help,crisis,home,need,outbreak,000,know,corona,deaths,et,please,would,realdonaldtrump,covid_19,2020,lockdown,spread,due,could,first,des,go,stay,da,covid 19,coronavirus outbreak,coronavirus covid19,coronavirus pandemic,coronavirus cases,covid19 coronavirus,via youtube,due coronavirus,novel coronavirus,new york,death toll,new coronavirus,amid coronavirus,19 pandemic,stay home,coronavirus crisis,coronavirus covid,china coronavirus,coronavirus via,coronavirus china,social distancing,new cases,il coronavirus,corona virus,positive coronavirus,du coronavirus,spread coronavirus,wuhan coronavirus,coronavirus death,confirmed cases,casos coronavirus,news coronavirus,bbc news,fight coronavirus,tested positive,cruise ship,coronavirus lockdown,public health,href rel,rel nofollow,19 cases,gon na,true href,cases coronavirus,wuhan china,south korea,coronavirus fears,hong kong,stay safe,donald trump,covid 19 pandemic,coronavirus covid 19,covid 19 cases,covid 19 crisis,coronavirus death toll,due covid 19,bbc news coronavirus,covid 19 outbreak,covid 19 patients,covid 19 coronavirus,coronavirus live updates,covid 19 via,new york times,fight covid 19,positive covid 19,twitter web app,amid coronavirus outbreak,amid covid 19,world health organization,tested positive coronavirus,new coronavirus cases,tests positive coronavirus,coronavirus 2019 ncov,covid 19 virus,coronavirus task force,casos covid 19,covid 19 deaths,covid 19 lockdown,spread covid 19,covid 19 di,cases covid 19,amid coronavirus pandemic,covid 19 response,primer caso coronavirus,gt virus coronavirus,coronavirus sars flu,virus coronavirus sars,virus covid 19,penyebaran covid 19,covid 19 testing
0,2020-01-21,CA,39510000,2,0,0,9,80,54,97,40,99,29,8,1,56,3,48,39,77,61,28,74,68,78,52,67,48,78,77,52,57,87,20,46,81,1,7,70,82,70,43,0,74,0,32,26,77,85,73,80,26,80,0,8,0,0,0,0,38,0,16,63,1,2,0,0,2,1,0,12,1,12,0,1,0,1,0,0,2,41,1,0,0,1,27,3,1,27,0,20,0,34,0,0,0,0,34,26,12,87,4,43,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,50,0,0,5,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,33,0,0,0
1,2020-01-21,NC,10490000,2,0,0,9,80,54,97,40,96,29,9,1,56,3,48,39,77,61,28,74,68,78,52,68,48,78,77,52,57,88,20,46,81,1,7,68,82,70,28,0,74,0,32,26,77,85,74,80,26,79,0,8,0,0,0,0,31,0,17,64,1,2,0,0,2,1,0,12,1,12,0,1,0,1,0,0,2,40,1,0,0,1,28,3,1,27,0,20,0,34,0,0,0,0,34,26,9,87,4,43,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,50,0,0,5,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,34,0,0,0
2,2020-01-21,MD,6046000,2,0,0,9,75,54,96,40,96,29,8,1,56,3,48,39,77,61,28,75,68,78,52,68,48,78,77,52,57,87,20,46,81,1,7,68,83,70,43,0,74,0,32,26,77,85,74,80,26,80,0,8,0,0,0,0,38,0,16,64,1,2,0,0,2,1,0,12,1,12,0,1,0,1,0,0,2,40,1,0,0,1,27,3,1,27,0,20,0,34,0,0,0,0,34,26,9,84,4,43,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,50,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,33,0,0,0
3,2020-01-21,MA,6893000,2,0,0,9,80,54,97,40,96,29,8,1,56,3,48,39,72,61,28,74,68,78,52,68,48,78,77,52,57,88,20,46,81,1,7,68,83,70,43,0,76,0,32,26,77,85,74,80,26,80,0,8,0,0,0,0,31,0,16,64,1,2,0,0,2,1,0,12,1,11,0,1,0,1,0,0,2,40,1,0,0,1,27,0,1,27,0,20,0,34,0,0,0,0,34,26,9,87,4,43,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,50,0,0,5,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,34,0,0,0
4,2020-01-21,IL,12670000,2,0,0,9,83,55,97,40,97,31,8,1,53,4,48,40,78,62,27,76,66,78,53,66,48,77,77,55,57,87,21,41,79,1,7,69,84,72,51,0,74,0,32,26,78,83,73,81,26,79,0,8,0,0,0,0,50,0,20,64,1,2,1,0,2,1,0,12,1,12,0,1,0,2,1,0,3,42,1,0,0,1,27,1,2,27,0,22,50,33,0,44,0,0,34,25,6,86,3,43,0,0,0,0,0,0,1,0,0,0,0,0,49,0,0,34,0,0,5,0,0,0,9,0,1,0,0,0,0,0,0,0,0,1,0,6,29,0,0,0
5,2020-01-21,GA,10620000,2,0,0,9,80,54,97,40,99,29,8,1,56,3,48,39,77,61,28,74,68,78,52,67,48,78,77,52,57,88,20,46,79,1,7,68,82,70,43,0,74,0,32,26,77,85,74,79,26,80,0,8,0,0,0,0,38,0,16,64,1,2,0,0,2,1,0,12,1,12,0,1,0,1,0,0,2,40,1,0,0,1,27,2,1,27,0,20,0,34,0,0,0,0,34,26,9,87,4,43,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,50,0,0,5,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,33,0,0,0
6,2020-01-21,FL,21480000,2,0,0,9,75,54,97,40,96,29,8,1,56,3,48,39,77,61,28,74,68,76,52,68,48,77,77,52,57,87,20,46,81,1,7,68,83,70,43,0,74,0,32,26,77,85,74,80,26,80,0,8,0,0,0,0,44,0,16,64,1,2,0,0,2,1,0,12,1,12,0,1,0,2,0,0,2,40,1,0,0,1,27,3,1,27,0,20,0,21,0,0,0,0,34,28,9,87,4,43,0,0,0,0,0,0,1,0,0,0,0,0,47,0,0,50,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,12,34,0,0,0
7,2020-01-21,CT,3565000,2,0,0,9,80,54,97,40,96,29,8,1,56,3,49,39,77,61,28,74,68,78,52,68,48,78,77,52,57,87,20,46,81,1,7,70,83,70,43,0,76,0,32,26,77,85,74,80,26,80,0,8,0,0,0,0,38,0,16,64,1,2,0,0,2,1,0,12,1,12,0,1,0,1,0,0,2,40,1,0,0,1,27,3,1,27,0,20,0,34,0,0,0,0,31,26,9,87,4,43,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,50,0,0,5,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,33,0,0,0
8,2020-01-21,NY,19450000,2,0,0,9,75,54,97,40,99,29,9,1,56,3,48,39,77,61,28,74,68,78,52,68,48,78,77,52,57,87,20,46,81,1,7,70,83,69,43,0,74,0,32,26,74,85,74,80,26,80,0,8,0,0,0,0,38,0,16,64,1,2,0,0,2,1,0,12,1,12,0,1,0,1,0,0,2,40,1,0,0,1,26,3,1,27,0,20,0,34,0,0,0,0,36,26,12,87,4,43,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,67,0,0,4,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,33,0,0,0
9,2020-01-21,NJ,8882000,2,0,0,9,80,54,97,40,96,29,8,1,56,3,48,39,72,61,28,74,68,78,50,68,48,78,77,52,57,87,20,46,81,1,7,68,83,70,43,0,74,0,33,26,74,85,74,80,26,80,0,8,0,0,0,0,44,0,16,63,1,2,0,0,2,1,0,12,1,12,0,1,0,1,0,0,2,41,1,0,0,1,27,3,1,27,0,20,0,34,0,0,0,0,34,26,9,87,4,43,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,50,0,0,5,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,33,0,0,0
