date,coronavirus,covid19,covid,19,nan,people,via,china,amp,trump,virus,pandemic,us,cases,new,news,like,get,wuhan,one,health,di,world,si,time,il,help,crisis,home,need,outbreak,000,know,corona,deaths,et,please,would,realdonaldtrump,covid_19,2020,lockdown,spread,due,could,first,des,go,stay,da,covid 19,coronavirus outbreak,coronavirus covid19,coronavirus pandemic,coronavirus cases,covid19 coronavirus,via youtube,due coronavirus,novel coronavirus,new york,death toll,new coronavirus,amid coronavirus,19 pandemic,stay home,coronavirus crisis,coronavirus covid,china coronavirus,coronavirus via,coronavirus china,social distancing,new cases,il coronavirus,corona virus,positive coronavirus,du coronavirus,spread coronavirus,wuhan coronavirus,coronavirus death,confirmed cases,casos coronavirus,news coronavirus,bbc news,fight coronavirus,tested positive,cruise ship,coronavirus lockdown,public health,href rel,rel nofollow,19 cases,gon na,true href,cases coronavirus,wuhan china,south korea,coronavirus fears,hong kong,stay safe,donald trump,covid 19 pandemic,coronavirus covid 19,covid 19 cases,covid 19 crisis,coronavirus death toll,due covid 19,bbc news coronavirus,covid 19 outbreak,covid 19 patients,covid 19 coronavirus,coronavirus live updates,covid 19 via,new york times,fight covid 19,positive covid 19,twitter web app,amid coronavirus outbreak,amid covid 19,world health organization,tested positive coronavirus,new coronavirus cases,tests positive coronavirus,coronavirus 2019 ncov,covid 19 virus,coronavirus task force,casos covid 19,covid 19 deaths,covid 19 lockdown,spread covid 19,covid 19 di,cases covid 19,amid coronavirus pandemic,covid 19 response,primer caso coronavirus,gt virus coronavirus,coronavirus sars flu,virus coronavirus sars,virus covid 19,penyebaran covid 19,covid 19 testing
2020-01-21,2,0,0,9,83,55,97,40,97,31,8,1,53,4,48,40,78,62,27,76,66,78,53,66,48,77,77,55,57,87,21,41,79,1,7,69,84,72,51,0,74,0,32,26,78,83,73,81,26,79,0,8,0,0,0,0,50,0,20,64,1,2,1,0,2,1,0,12,1,12,0,1,0,2,1,0,3,42,1,0,0,1,27,1,2,27,0,22,50,33,0,44,0,0,34,25,6,86,3,43,0,0,0,0,0,0,1,0,0,0,0,0,49,0,0,34,0,0,5,0,0,0,9,0,1,0,0,0,0,0,0,0,0,1,0,6,29,0,0,0
2020-01-22,4,0,0,8,81,56,94,45,91,33,12,2,55,3,49,42,78,62,40,74,66,81,53,65,48,80,76,53,56,87,31,41,81,2,8,69,84,72,52,0,72,1,34,25,79,83,74,83,26,83,0,15,0,1,0,0,42,0,28,65,2,3,1,0,2,0,0,16,2,16,0,1,1,3,0,1,3,45,1,0,0,1,27,1,1,24,0,20,50,33,0,0,89,0,49,28,12,86,3,44,0,0,0,0,1,0,2,0,0,0,0,0,47,0,0,34,0,0,9,0,0,0,22,0,0,0,0,0,0,0,0,0,0,3,51,12,44,0,0,0
2020-01-23,5,0,0,8,77,58,92,53,95,30,18,2,53,4,51,42,79,62,71,74,64,78,52,66,47,74,76,49,55,88,43,39,81,3,9,65,84,73,34,0,72,1,36,25,76,84,71,79,26,85,0,22,0,1,0,0,43,0,34,64,4,4,0,0,2,2,0,23,4,23,0,1,1,6,1,1,9,54,2,1,0,2,28,3,2,26,0,21,0,50,0,44,0,0,79,24,15,84,4,41,0,0,0,0,2,0,4,0,0,0,2,0,45,0,0,79,0,0,9,0,0,0,30,0,1,0,0,0,0,0,0,0,0,2,0,15,42,0,0,0
2020-01-24,8,0,0,9,85,58,91,63,89,32,22,3,53,4,78,41,79,60,79,76,59,76,55,64,49,78,73,46,57,83,45,39,78,4,9,64,82,68,26,0,78,1,39,25,73,85,69,81,25,76,0,30,0,2,1,0,45,0,41,63,6,6,5,0,2,2,0,36,6,36,0,1,2,9,0,3,14,73,5,2,1,3,28,3,1,25,1,21,0,0,0,0,0,1,78,24,9,79,3,41,0,0,0,0,5,0,4,0,0,0,2,0,43,0,0,46,0,0,9,0,0,0,56,0,1,0,0,0,0,0,0,0,0,1,53,14,49,0,0,0
2020-01-25,10,0,0,8,76,52,72,67,85,30,26,3,48,4,78,39,83,61,90,74,38,77,57,64,46,80,62,38,58,79,42,37,79,6,10,66,77,54,23,0,82,1,38,20,58,78,69,85,26,77,0,30,0,3,2,0,45,1,44,62,10,11,2,0,2,4,0,42,8,42,0,2,4,14,1,7,23,84,8,4,1,5,25,8,1,29,1,13,0,38,0,76,0,2,96,24,7,88,3,38,0,0,0,0,9,0,5,0,0,0,3,0,36,0,0,34,21,0,6,1,1,0,58,0,0,0,0,0,0,0,0,0,0,2,58,25,65,0,0,0
2020-01-26,11,0,0,8,80,60,58,62,77,28,28,4,48,4,75,47,83,61,95,75,38,78,57,66,51,75,63,38,57,79,42,37,80,9,13,70,76,60,55,0,90,1,43,21,62,77,72,83,27,72,0,35,0,3,2,0,31,1,50,64,13,9,3,0,2,1,0,41,8,41,0,2,4,18,2,5,32,90,11,5,1,6,28,7,1,29,1,14,0,0,0,48,0,2,100,24,7,88,3,41,0,0,0,0,14,0,6,0,0,0,2,0,51,0,0,38,21,0,8,1,1,0,58,0,0,0,0,0,0,0,0,0,0,3,0,23,85,0,0,0
2020-01-27,12,0,0,8,85,67,93,63,85,31,30,3,55,5,47,47,77,59,91,72,65,79,51,62,48,77,76,45,57,84,38,41,80,10,15,69,78,73,61,0,86,1,50,26,76,85,71,81,25,72,0,32,0,4,3,0,43,1,60,63,16,8,3,0,2,4,0,42,8,42,0,1,4,21,2,5,32,96,14,7,1,8,31,9,2,23,1,24,98,32,0,43,0,3,95,25,20,86,5,42,0,0,0,0,17,0,5,0,0,0,5,0,59,0,0,44,18,0,13,1,1,2,64,0,1,0,0,0,0,0,0,19,0,1,100,33,70,0,0,0
2020-01-28,15,0,0,10,77,64,93,65,92,34,31,4,55,6,47,46,79,63,100,73,67,78,57,66,49,77,77,48,56,86,38,39,82,11,14,69,82,75,28,0,75,1,54,27,75,84,72,80,24,77,0,33,0,5,4,0,42,2,67,64,19,11,4,0,2,4,0,46,13,46,0,2,7,22,3,5,35,100,16,8,2,10,30,14,1,24,1,23,50,32,0,44,0,4,95,26,8,92,5,41,0,0,0,0,22,0,7,0,0,0,8,0,50,0,0,74,28,0,17,1,2,4,78,0,2,0,0,0,0,0,0,0,0,3,50,37,87,0,0,0
2020-01-29,14,0,0,8,80,63,91,64,87,33,28,3,56,6,72,46,77,61,91,72,66,79,54,65,48,76,77,45,55,86,35,40,80,10,14,68,81,76,34,0,73,1,53,27,77,83,72,80,25,78,0,30,0,3,4,0,39,2,62,62,22,9,6,0,2,6,0,44,15,44,0,2,6,20,3,6,35,87,17,9,2,10,30,8,1,23,1,23,50,0,0,59,0,4,92,26,10,96,4,40,0,0,0,0,25,0,8,0,0,0,9,0,46,0,0,37,56,0,17,1,2,0,68,0,1,0,0,0,0,0,0,0,0,3,0,25,84,0,0,0
2020-01-30,16,0,0,8,76,65,91,66,88,30,31,3,55,7,49,48,76,61,89,74,68,79,54,65,49,75,75,46,55,87,38,37,80,12,15,66,83,76,47,0,72,1,55,28,78,85,70,83,25,79,0,34,0,4,5,0,36,3,100,62,23,9,4,0,2,5,0,47,30,47,0,2,11,23,3,7,39,93,19,11,2,12,31,18,2,68,1,28,51,50,0,45,0,5,89,27,14,96,4,38,0,0,0,0,26,0,10,0,0,0,8,0,50,0,0,45,19,0,44,1,2,2,78,0,1,0,0,0,0,0,0,0,0,3,0,38,86,0,0,0
2020-01-31,17,0,0,9,83,62,90,64,88,36,32,4,55,7,84,51,78,60,81,75,61,75,54,63,50,78,72,44,55,83,34,36,78,13,16,65,81,71,26,0,72,1,57,29,73,82,67,81,25,77,0,30,0,4,6,0,45,3,88,62,25,10,4,0,2,5,0,45,25,45,0,2,17,25,3,7,38,83,20,12,3,14,39,18,3,45,0,24,52,0,0,91,0,6,80,28,21,100,5,41,0,0,0,0,28,0,14,0,0,0,9,0,52,0,0,100,19,0,24,1,3,0,75,0,6,0,0,0,0,0,0,0,0,7,52,34,77,0,0,0
2020-02-01,12,0,0,9,82,54,71,57,89,34,24,3,49,6,52,42,80,61,64,74,39,77,53,61,54,79,63,36,58,79,26,32,76,10,13,65,77,55,39,0,81,0,41,22,60,76,72,87,26,77,0,25,0,2,4,0,40,2,54,60,19,8,5,0,2,4,0,36,18,36,0,2,10,19,2,5,24,64,15,7,2,11,28,13,2,30,0,15,0,37,0,100,0,4,64,22,16,93,3,41,0,0,0,0,22,0,8,0,0,0,7,0,38,0,0,38,21,0,12,1,2,2,85,0,3,0,0,0,0,0,0,0,0,11,0,16,49,0,0,0
2020-02-02,10,0,0,9,83,56,62,55,82,29,21,3,48,6,78,38,81,61,61,75,39,77,56,65,100,74,65,39,56,80,27,37,80,9,12,68,76,59,38,0,100,0,53,22,60,79,76,89,26,76,0,24,0,4,4,0,25,2,54,62,18,8,6,0,1,4,0,33,13,33,0,2,9,16,2,5,20,57,16,6,2,10,31,10,1,29,0,14,0,37,0,66,0,4,64,24,14,92,3,37,0,0,0,0,20,0,6,0,0,0,6,0,38,0,0,33,0,0,11,1,2,2,75,0,2,0,0,0,0,0,0,0,0,4,0,15,29,0,0,0
2020-02-03,9,0,0,9,76,60,98,55,85,44,18,5,53,6,46,40,78,61,50,73,64,81,54,63,70,78,72,44,56,84,24,38,77,8,12,68,80,73,46,0,96,1,47,27,77,95,73,84,25,78,0,25,0,8,4,0,32,2,57,63,18,8,3,0,2,4,0,31,13,31,0,2,7,14,2,4,18,52,15,7,1,9,29,10,2,23,0,21,47,0,0,41,0,4,54,25,17,93,5,64,0,0,0,0,22,0,6,0,0,0,7,0,45,0,0,73,17,0,12,1,2,2,85,0,1,0,0,0,0,0,0,0,0,2,0,12,33,0,0,0
2020-02-04,8,0,0,15,83,60,96,50,87,36,17,4,53,6,47,42,78,61,44,74,66,81,67,64,51,76,77,45,55,84,23,39,79,8,12,66,84,76,58,0,77,1,40,26,78,85,72,84,25,78,0,23,0,5,4,0,49,2,58,66,18,7,2,0,2,3,0,29,9,29,0,3,5,13,2,4,17,44,15,5,1,9,28,9,2,27,0,20,49,0,0,0,0,4,43,26,24,99,4,49,0,0,0,0,21,0,5,0,0,0,7,0,63,0,0,88,28,0,11,1,2,2,48,0,1,0,0,0,0,0,0,0,0,3,50,16,29,0,0,0
2020-02-05,7,0,0,9,82,60,95,46,90,81,15,3,56,5,92,43,75,60,41,72,63,80,52,64,49,75,74,48,54,85,20,39,81,7,11,66,82,76,89,0,76,1,40,27,76,84,71,83,25,78,0,21,0,3,3,0,44,2,51,63,15,7,5,0,2,5,0,26,8,26,0,2,4,12,3,4,14,41,14,6,1,9,27,7,3,57,0,20,50,33,0,0,0,3,37,25,6,97,4,100,0,0,0,0,19,0,5,0,0,0,5,0,53,0,0,52,37,0,9,2,2,2,54,0,1,0,0,0,0,0,0,0,0,2,0,12,24,0,0,0
2020-02-06,7,0,0,10,82,62,94,46,91,60,16,2,54,6,48,43,78,62,39,75,63,79,54,64,46,78,75,48,56,85,20,38,80,7,12,66,84,75,61,0,71,1,38,29,80,86,70,85,25,83,0,19,0,3,3,0,35,2,49,67,19,6,4,0,2,5,0,30,12,30,0,2,4,12,2,4,16,40,17,5,1,9,28,8,3,51,0,22,51,50,0,45,0,3,37,27,9,94,4,76,0,0,0,0,23,0,7,0,0,0,5,0,52,0,0,30,28,0,10,0,2,0,100,0,1,0,0,0,0,0,0,0,0,3,51,9,27,0,0,0
2020-02-07,8,0,0,9,84,60,97,49,89,37,16,3,53,6,49,41,78,61,46,74,58,75,53,62,46,75,70,44,56,82,23,38,79,7,13,64,81,70,32,0,74,1,39,27,72,85,70,85,25,78,0,27,0,3,4,0,51,3,53,65,20,7,5,0,2,3,0,35,13,35,0,3,5,12,2,4,17,50,18,6,1,9,31,9,3,78,1,19,52,34,0,46,0,4,43,27,21,89,4,48,0,0,0,0,26,0,7,0,0,0,9,0,44,0,0,39,49,0,10,1,2,2,66,0,2,0,0,0,0,0,0,0,0,3,52,13,24,0,0,0
