date,coronavirus,covid19,covid,19,nan,people,via,china,amp,trump,virus,pandemic,us,cases,new,news,like,get,wuhan,one,health,di,world,si,time,il,help,crisis,home,need,outbreak,000,know,corona,deaths,et,please,would,realdonaldtrump,covid_19,2020,lockdown,spread,due,could,first,des,go,stay,da,covid 19,coronavirus outbreak,coronavirus covid19,coronavirus pandemic,coronavirus cases,covid19 coronavirus,via youtube,due coronavirus,novel coronavirus,new york,death toll,new coronavirus,amid coronavirus,19 pandemic,stay home,coronavirus crisis,coronavirus covid,china coronavirus,coronavirus via,coronavirus china,social distancing,new cases,il coronavirus,corona virus,positive coronavirus,du coronavirus,spread coronavirus,wuhan coronavirus,coronavirus death,confirmed cases,casos coronavirus,news coronavirus,bbc news,fight coronavirus,tested positive,cruise ship,coronavirus lockdown,public health,href rel,rel nofollow,19 cases,gon na,true href,cases coronavirus,wuhan china,south korea,coronavirus fears,hong kong,stay safe,donald trump,covid 19 pandemic,coronavirus covid 19,covid 19 cases,covid 19 crisis,coronavirus death toll,due covid 19,bbc news coronavirus,covid 19 outbreak,covid 19 patients,covid 19 coronavirus,coronavirus live updates,covid 19 via,new york times,fight covid 19,positive covid 19,twitter web app,amid coronavirus outbreak,amid covid 19,world health organization,tested positive coronavirus,new coronavirus cases,tests positive coronavirus,coronavirus 2019 ncov,covid 19 virus,coronavirus task force,casos covid 19,covid 19 deaths,covid 19 lockdown,spread covid 19,covid 19 di,cases covid 19,amid coronavirus pandemic,covid 19 response,primer caso coronavirus,gt virus coronavirus,coronavirus sars flu,virus coronavirus sars,virus covid 19,penyebaran covid 19,covid 19 testing
2020-01-21,2,0,0,9,80,54,97,40,96,29,8,1,56,3,48,39,72,61,28,74,68,78,52,68,48,78,77,52,57,88,20,46,81,1,7,68,83,70,43,0,76,0,32,26,77,85,74,80,26,80,0,8,0,0,0,0,31,0,16,64,1,2,0,0,2,1,0,12,1,11,0,1,0,1,0,0,2,40,1,0,0,1,27,0,1,27,0,20,0,34,0,0,0,0,34,26,9,87,4,43,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,50,0,0,5,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,34,0,0,0
2020-01-22,4,0,0,9,83,55,95,46,83,31,12,2,57,4,49,40,75,58,40,74,64,80,51,68,47,82,76,50,55,87,29,41,83,2,8,68,85,72,42,0,73,0,35,25,77,85,72,80,26,84,0,14,0,1,0,0,41,0,22,64,2,3,2,0,2,1,0,16,1,16,0,1,0,3,1,1,4,47,1,1,0,1,27,4,1,25,0,19,27,68,0,72,0,0,51,26,6,85,3,46,0,0,0,0,0,0,1,0,0,0,0,0,46,0,0,42,0,0,8,0,0,0,22,0,0,0,0,0,0,0,0,0,0,3,43,15,44,0,0,0
2020-01-23,5,0,0,8,76,57,90,53,87,29,17,2,56,4,52,41,77,60,69,74,64,79,51,67,47,76,76,49,56,88,40,42,82,3,9,67,82,75,34,0,72,1,35,24,74,86,71,79,26,84,0,23,0,2,0,0,34,0,34,62,3,3,0,0,2,2,0,23,3,24,0,1,2,6,1,1,8,55,2,1,0,2,28,6,1,26,1,21,27,68,0,0,0,0,76,26,16,87,4,41,0,0,0,0,2,0,3,0,0,0,1,0,46,0,0,33,13,0,9,0,0,0,29,0,0,0,0,0,0,0,0,0,0,2,0,12,47,0,0,0
2020-01-24,8,0,0,9,78,56,91,63,85,30,22,3,56,4,79,40,77,60,78,76,59,78,53,67,49,81,72,46,57,83,46,41,80,5,10,65,82,67,40,0,79,1,38,24,74,88,69,81,25,76,0,32,0,3,1,0,18,0,39,66,6,7,3,0,2,2,0,37,5,37,0,1,2,9,1,3,11,73,5,2,1,3,29,2,1,26,1,20,28,0,0,76,0,1,81,24,7,82,3,42,0,0,0,0,5,0,5,0,0,0,1,0,45,0,0,35,0,0,10,1,0,2,42,0,1,0,0,0,0,0,0,0,0,1,45,19,65,0,0,0
2020-01-25,10,0,0,8,73,49,72,66,83,28,26,4,50,4,78,37,81,59,89,74,38,78,55,67,46,79,65,38,57,77,41,38,79,7,10,65,71,53,33,0,83,1,37,20,58,81,69,86,26,76,0,33,0,3,2,0,33,1,37,61,10,11,0,0,2,3,0,40,10,40,0,2,5,14,1,7,21,84,8,5,1,5,24,3,0,29,1,13,0,38,0,0,0,2,96,23,7,85,3,39,0,0,0,0,10,0,4,0,0,0,3,0,35,0,0,28,14,0,8,0,1,0,41,0,0,0,0,0,0,0,0,0,0,2,0,36,68,0,0,0
2020-01-26,11,0,0,8,76,59,59,63,72,26,28,4,50,4,75,46,79,59,89,74,37,78,56,69,52,77,63,39,57,78,39,38,77,9,13,69,75,61,42,0,92,1,41,21,60,79,70,83,27,70,0,36,0,4,2,0,28,1,47,64,13,9,2,0,2,3,0,42,9,43,0,2,4,19,1,6,29,93,11,5,1,7,28,10,1,29,1,13,0,75,0,40,0,2,100,25,7,91,3,39,0,0,0,0,14,0,5,0,0,0,3,0,51,0,0,55,0,0,8,1,1,0,54,0,0,0,0,0,0,0,0,0,0,2,48,20,92,0,0,0
2020-01-27,12,0,0,8,82,66,92,63,82,30,31,3,56,5,48,46,74,58,89,71,64,78,50,65,49,80,73,44,56,82,37,41,79,10,15,71,80,71,52,0,86,1,50,26,76,88,70,79,25,72,0,34,0,4,3,0,31,1,57,62,15,8,3,0,2,3,0,40,10,41,0,2,4,21,2,6,30,93,14,7,1,8,32,12,2,23,1,23,52,0,0,35,0,3,94,25,12,85,4,43,0,0,0,0,17,0,5,0,0,0,4,0,59,0,0,41,25,0,11,1,1,2,56,0,0,0,0,0,0,0,0,0,0,1,63,30,85,0,0,0
2020-01-28,14,0,0,9,77,62,91,66,84,32,32,4,56,6,48,44,72,60,100,71,67,80,54,68,49,78,78,47,56,90,35,42,80,11,14,70,85,75,33,0,76,1,56,27,74,86,72,79,25,77,0,32,0,4,4,0,39,1,61,63,20,11,5,0,2,4,0,45,14,44,0,3,7,22,3,5,35,100,15,8,1,10,31,11,2,23,1,23,0,34,0,72,0,4,94,23,19,94,5,43,0,0,0,0,23,0,7,0,0,0,6,0,49,0,0,49,13,0,20,0,2,2,68,0,0,0,0,0,0,0,0,0,0,3,0,40,91,0,0,0
2020-01-29,14,0,0,8,81,61,90,64,80,32,28,3,58,6,73,44,75,59,86,70,65,79,52,66,48,79,76,43,55,86,32,42,80,10,14,69,80,75,33,0,75,1,49,27,74,84,71,80,26,79,0,32,0,3,5,0,35,2,59,59,22,9,3,0,2,4,0,44,14,43,0,2,6,20,3,5,33,85,17,9,2,10,29,9,1,25,1,23,0,100,0,0,0,5,88,22,16,97,5,41,0,0,0,0,27,0,6,0,0,0,8,0,45,0,0,49,25,0,17,1,2,0,61,0,1,0,0,0,0,0,0,0,0,2,0,41,81,0,0,0
2020-01-30,16,0,0,9,76,66,90,65,84,29,32,3,57,7,50,45,72,60,86,73,67,79,54,67,50,77,76,46,55,86,36,38,83,12,15,68,82,76,34,0,76,1,57,29,77,88,70,83,25,79,0,34,0,4,5,0,42,3,100,62,24,9,4,0,2,6,0,46,38,46,0,2,12,23,3,6,40,93,19,11,2,13,32,17,3,69,1,25,27,0,0,0,0,5,90,26,22,98,5,38,0,0,0,0,27,0,9,0,0,0,9,0,48,0,0,34,39,0,47,1,1,0,100,0,1,0,0,0,0,0,0,0,0,3,0,41,86,0,0,0
