date,coronavirus,covid19,covid,19,nan,people,via,china,amp,trump,virus,pandemic,us,cases,new,news,like,get,wuhan,one,health,di,world,si,time,il,help,crisis,home,need,outbreak,000,know,corona,deaths,et,please,would,realdonaldtrump,covid_19,2020,lockdown,spread,due,could,first,des,go,stay,da,covid 19,coronavirus outbreak,coronavirus covid19,coronavirus pandemic,coronavirus cases,covid19 coronavirus,via youtube,due coronavirus,novel coronavirus,new york,death toll,new coronavirus,amid coronavirus,19 pandemic,stay home,coronavirus crisis,coronavirus covid,china coronavirus,coronavirus via,coronavirus china,social distancing,new cases,il coronavirus,corona virus,positive coronavirus,du coronavirus,spread coronavirus,wuhan coronavirus,coronavirus death,confirmed cases,casos coronavirus,news coronavirus,bbc news,fight coronavirus,tested positive,cruise ship,coronavirus lockdown,public health,href rel,rel nofollow,19 cases,gon na,true href,cases coronavirus,wuhan china,south korea,coronavirus fears,hong kong,stay safe,donald trump,covid 19 pandemic,coronavirus covid 19,covid 19 cases,covid 19 crisis,coronavirus death toll,due covid 19,bbc news coronavirus,covid 19 outbreak,covid 19 patients,covid 19 coronavirus,coronavirus live updates,covid 19 via,new york times,fight covid 19,positive covid 19,twitter web app,amid coronavirus outbreak,amid covid 19,world health organization,tested positive coronavirus,new coronavirus cases,tests positive coronavirus,coronavirus 2019 ncov,covid 19 virus,coronavirus task force,casos covid 19,covid 19 deaths,covid 19 lockdown,spread covid 19,covid 19 di,cases covid 19,amid coronavirus pandemic,covid 19 response,primer caso coronavirus,gt virus coronavirus,coronavirus sars flu,virus coronavirus sars,virus covid 19,penyebaran covid 19,covid 19 testing
2020-01-21,2,0,0,9,84,55,97,39,98,30,8,1,55,3,50,41,79,60,28,75,70,81,53,67,47,79,74,52,57,87,22,43,81,1,7,68,86,75,36,0,76,0,30,25,79,85,76,82,26,81,0,8,0,0,0,0,53,0,19,63,1,2,0,0,2,0,0,12,1,12,0,1,1,1,0,0,3,42,1,0,0,1,27,2,1,25,0,20,0,28,0,33,0,0,34,25,0,84,4,43,0,0,0,0,0,0,1,0,0,0,0,0,47,0,0,21,0,0,5,0,0,0,8,0,1,0,0,0,0,0,0,0,0,1,0,10,34,0,0,0
2020-01-22,4,0,0,8,86,56,95,45,93,32,12,2,56,4,50,42,76,62,41,73,66,83,54,65,46,79,72,48,56,87,29,42,79,2,8,68,87,72,45,0,74,0,32,26,74,83,75,81,25,83,0,13,0,1,0,0,53,0,30,64,2,3,0,0,2,2,0,16,2,16,0,1,1,3,1,1,5,47,1,0,0,1,28,1,1,25,0,22,0,42,0,0,93,0,46,26,8,85,3,43,0,0,0,0,0,0,1,0,0,0,0,0,47,0,0,74,0,0,8,0,0,0,31,0,0,0,0,0,0,0,0,0,0,4,0,19,40,0,0,0
2020-01-23,5,0,0,8,82,58,92,53,98,30,17,2,55,4,53,42,79,63,72,74,67,78,51,66,46,75,75,51,57,85,43,39,81,3,8,66,82,78,32,0,74,1,36,25,77,84,73,83,26,87,0,25,0,2,0,0,36,0,38,62,3,3,0,0,2,2,0,25,3,25,0,1,1,6,1,1,8,56,2,1,0,2,29,3,1,25,1,20,0,56,0,0,94,0,73,25,11,85,4,40,0,0,0,0,2,0,4,0,0,0,0,0,45,0,0,42,0,0,11,1,0,2,33,0,1,0,0,0,0,0,0,0,0,2,0,11,41,0,0,0
2020-01-24,8,0,0,8,75,57,90,62,88,31,21,3,54,4,80,42,79,60,79,76,61,72,53,65,47,79,69,46,56,82,44,38,81,5,9,65,85,70,35,0,80,1,39,24,70,86,71,83,25,77,0,26,0,3,1,0,41,0,43,63,6,6,2,0,2,2,0,36,4,36,0,1,2,9,1,3,14,76,5,2,1,3,29,2,2,26,1,21,36,29,0,0,0,1,78,23,6,82,3,40,0,0,0,0,5,0,4,0,0,0,1,0,45,0,0,86,16,0,8,0,1,0,53,0,0,0,0,0,0,0,0,0,0,1,98,10,57,0,0,0
2020-01-25,10,0,0,8,83,51,70,67,87,29,25,3,49,4,78,39,83,61,92,74,39,77,56,65,45,81,60,36,58,78,42,35,79,7,9,65,76,55,33,0,85,1,36,20,56,78,69,86,26,77,0,30,0,4,1,0,41,1,46,60,11,12,2,0,2,3,0,42,6,42,0,2,4,14,1,7,24,85,8,4,1,4,25,8,2,24,1,15,0,0,0,0,0,1,91,22,6,88,3,37,0,0,0,0,10,0,4,0,0,0,2,0,39,0,0,36,36,0,6,0,0,0,56,0,0,0,0,0,0,0,0,0,0,1,0,28,61,0,0,0
2020-01-26,11,0,0,8,85,58,57,63,78,27,27,4,49,4,76,47,80,60,95,72,37,78,55,66,50,77,59,38,56,77,40,36,78,8,13,69,76,59,35,0,91,1,41,21,55,75,72,86,26,73,0,31,0,4,2,0,29,1,48,61,13,9,3,0,2,5,0,41,5,41,0,2,4,18,2,4,31,87,11,4,1,6,28,7,2,27,1,13,37,0,0,36,0,2,97,23,6,88,4,38,0,0,0,0,13,0,5,0,0,0,7,0,52,0,0,34,0,0,7,0,1,0,53,0,0,0,0,0,0,0,0,0,0,2,0,28,85,0,0,0
2020-01-27,12,0,0,8,83,67,90,62,90,30,31,4,56,5,49,48,76,60,92,72,67,80,51,63,47,80,72,43,57,83,39,40,81,10,15,70,82,74,67,0,89,1,51,27,76,86,75,83,25,73,0,29,0,4,3,0,55,1,61,62,16,7,4,0,2,2,0,43,9,43,0,2,4,21,2,6,37,92,14,6,1,8,32,5,1,21,1,23,33,0,0,32,0,3,100,26,13,83,4,42,0,0,0,0,17,0,5,0,0,0,6,0,60,0,0,41,15,0,12,0,1,0,66,0,0,0,0,0,0,0,0,0,0,1,0,29,76,0,0,0
2020-01-28,14,0,0,9,89,64,91,65,88,33,31,4,57,6,48,46,77,61,100,72,69,78,55,65,47,76,74,44,57,86,37,40,81,11,14,71,85,75,43,0,76,1,51,28,77,83,73,82,26,79,0,33,0,4,4,0,62,2,70,61,19,11,5,0,2,3,0,46,10,46,0,3,6,21,2,5,34,100,16,8,1,10,30,8,1,25,1,25,34,41,0,0,0,4,89,26,5,92,5,40,0,0,0,0,20,0,7,0,0,0,8,0,49,0,0,73,15,0,17,1,2,2,93,0,1,0,0,0,0,0,0,0,0,4,0,31,85,0,0,0
2020-01-29,14,0,0,8,81,62,89,65,86,32,28,3,57,6,75,46,75,60,92,71,68,77,52,64,47,78,73,43,56,84,34,39,80,10,13,68,83,75,34,0,75,1,52,27,76,84,74,80,25,77,0,29,0,3,4,0,39,2,70,61,22,9,7,0,2,4,0,46,17,46,0,2,8,19,2,6,36,86,16,8,2,9,30,7,2,24,1,24,34,55,0,32,0,4,85,26,11,94,5,39,0,0,0,0,25,0,7,0,0,0,9,0,47,0,0,41,23,0,16,1,2,0,67,0,2,0,0,0,0,0,0,0,0,2,0,33,82,0,0,0
2020-01-30,16,0,0,8,75,65,92,67,88,29,31,4,57,7,49,48,78,62,90,74,72,80,54,66,49,77,73,43,56,83,36,40,80,11,14,70,87,77,25,0,74,1,54,30,80,85,72,83,26,81,0,33,0,4,5,0,70,3,100,61,23,9,2,0,2,7,0,46,23,46,0,2,10,22,3,6,41,95,19,10,3,12,31,15,3,67,1,29,35,0,0,33,95,5,89,26,17,100,4,36,0,0,0,0,26,0,10,0,0,0,10,0,48,0,0,21,16,0,45,1,1,0,87,0,2,0,0,0,0,0,0,0,0,4,0,40,100,0,0,0
