,date,state,population,coronavirus,covid19,covid,19,nan,people,via,china,amp,trump,covid 19,coronavirus outbreak,coronavirus covid19,coronavirus pandemic,coronavirus cases,covid19 coronavirus,via youtube,due coronavirus,novel coronavirus,new york,covid 19 pandemic,coronavirus covid 19,covid 19 cases,covid 19 crisis,coronavirus death toll,due covid 19,bbc news coronavirus
0,2020-01-21,CA,39510000,2,0,0,9,85,54,95,40,88,30,0,7,0,0,0,0,39,0,20,63,0,0,0,0,0,0,0
1,2020-01-21,NC,10490000,2,0,0,9,84,54,94,39,88,30,0,7,0,0,0,0,39,0,20,63,0,0,0,0,0,0,0
2,2020-01-21,MD,6046000,2,0,0,9,85,54,95,39,88,30,0,7,0,0,0,0,39,0,20,63,0,0,0,0,0,0,0
3,2020-01-21,MA,6893000,2,0,0,9,85,54,94,40,88,30,0,7,0,0,0,0,39,0,20,63,0,0,0,0,0,0,0
4,2020-01-21,IL,12670000,2,0,0,9,85,54,95,39,88,30,0,7,0,0,0,0,39,0,20,63,0,0,0,0,0,0,0
5,2020-01-21,GA,10620000,2,0,0,9,85,54,95,39,88,30,0,7,0,0,0,0,39,0,20,63,0,0,0,0,0,0,0
6,2020-01-21,FL,21480000,2,0,0,9,85,54,95,39,88,30,0,7,0,0,0,0,39,0,20,63,0,0,0,0,0,0,0
7,2020-01-21,CT,3565000,2,0,0,9,85,54,95,40,88,30,0,7,0,0,0,0,39,0,20,63,0,0,0,0,0,0,0
8,2020-01-21,NY,19450000,2,0,0,9,82,54,94,39,88,30,0,7,0,0,0,0,39,0,20,63,0,0,0,0,0,0,0
9,2020-01-21,NJ,8882000,2,0,0,9,85,54,95,39,88,30,0,7,0,0,0,0,39,0,20,63,0,0,0,0,0,0,0
10,2020-01-22,FL,21480000,4,0,0,8,84,55,92,45,90,32,0,15,0,1,0,0,47,0,30,63,0,0,0,0,1,0,1
11,2020-01-22,IL,12670000,4,0,0,8,84,55,92,45,90,32,0,15,0,1,0,0,47,0,27,64,0,0,0,0,1,0,1
12,2020-01-22,CA,39510000,4,0,0,8,84,55,92,45,90,33,0,15,0,1,0,0,47,0,27,63,0,0,0,0,1,0,1
13,2020-01-22,NC,10490000,4,0,0,8,86,55,93,45,90,32,0,15,0,1,0,0,47,0,27,63,0,0,0,0,1,0,1
14,2020-01-22,NY,19450000,4,0,0,8,76,55,93,45,90,32,0,15,0,1,0,0,47,0,24,63,0,0,0,0,1,0,2
15,2020-01-22,MA,6893000,4,0,0,8,84,55,93,45,86,32,0,15,0,1,0,0,47,0,24,63,0,0,0,0,1,0,2
16,2020-01-22,MD,6046000,4,0,0,8,84,55,92,45,90,32,0,15,0,1,0,0,47,0,27,63,0,0,0,0,1,0,1
