date,coronavirus,covid19,covid,19,nan,people,via,china,amp,trump,covid 19,coronavirus outbreak,coronavirus covid19,coronavirus pandemic,coronavirus cases,covid19 coronavirus,via youtube,due coronavirus,novel coronavirus,new york,covid 19 pandemic,coronavirus covid 19,covid 19 cases,covid 19 crisis,coronavirus death toll,due covid 19,bbc news coronavirus
2020-01-21,2,0,0,9,85,54,95,39,88,30,0,7,0,0,0,0,39,0,20,63,0,0,0,0,0,0,0
2020-01-22,4,0,0,8,84,55,92,45,86,32,0,15,0,1,0,0,47,0,27,63,0,0,0,0,1,0,1
2020-01-23,5,0,0,8,74,57,90,53,85,30,0,21,0,1,0,0,47,0,35,61,0,0,0,0,2,0,3
2020-01-24,8,0,0,9,77,55,91,64,89,30,0,32,0,2,1,0,36,0,44,62,0,0,0,0,4,0,4
2020-01-25,10,0,0,8,76,51,73,67,78,28,0,29,0,3,2,0,27,1,42,62,0,0,0,0,9,0,3
2020-01-26,11,0,0,8,85,59,58,63,77,27,0,34,0,4,2,0,28,1,45,64,0,0,0,0,13,0,5
2020-01-27,11,0,0,8,79,65,92,62,82,30,0,31,0,4,3,0,54,1,61,62,0,0,0,0,15,0,5
2020-01-28,14,0,0,9,82,62,93,64,86,33,0,30,0,5,4,0,35,1,65,63,0,0,0,0,21,0,8
2020-01-29,14,0,0,8,79,61,88,66,84,32,0,34,0,4,4,0,44,2,68,61,0,0,0,0,24,0,7
2020-01-30,16,0,0,9,78,64,91,67,89,29,0,32,0,4,5,0,43,3,100,61,0,0,0,0,25,0,10
2020-01-31,17,0,0,9,80,60,89,65,88,35,0,32,0,3,6,0,45,3,91,62,0,0,0,0,27,0,13
2020-02-01,12,0,0,9,76,54,70,57,80,33,0,25,0,3,5,0,34,2,56,58,0,0,0,0,21,0,6
2020-02-02,10,0,0,9,88,56,61,57,84,28,0,25,0,4,4,0,24,2,56,60,0,0,0,0,20,0,7
2020-02-03,9,0,0,9,77,59,100,56,85,42,0,26,0,7,4,0,44,2,62,63,0,0,0,0,21,0,5
2020-02-04,8,0,0,15,82,60,94,50,82,33,0,21,0,5,4,0,46,2,56,65,0,0,0,0,18,0,5
2020-02-05,7,0,0,9,86,59,93,45,87,77,0,20,0,3,3,0,47,2,54,62,0,0,0,0,19,0,5
2020-02-06,7,0,0,9,82,60,93,47,90,58,0,20,0,3,4,0,36,2,56,67,0,0,0,0,21,0,7
2020-02-07,8,0,0,9,85,58,95,49,85,35,0,26,0,3,4,0,47,2,51,62,0,0,0,0,23,0,7
2020-02-08,8,0,0,9,74,51,74,45,82,31,0,23,0,3,4,0,41,2,42,63,0,0,0,0,23,0,7
2020-02-09,7,0,0,22,81,55,63,43,84,29,0,30,0,3,3,0,36,2,46,68,0,0,0,0,22,0,7
2020-02-10,7,0,0,9,79,59,98,42,89,26,0,35,0,2,4,0,22,2,51,65,0,0,0,0,24,0,9
2020-02-11,7,0,0,8,75,61,99,41,85,27,0,32,1,2,3,1,40,2,48,63,0,1,0,0,21,0,6
2020-02-12,6,2,1,8,82,59,97,41,86,28,1,30,5,1,3,4,51,2,40,67,0,2,0,2,20,0,5
2020-02-13,7,2,1,9,82,61,94,44,96,25,1,30,3,2,4,3,34,2,30,64,0,2,0,2,24,0,7
2020-02-14,5,2,1,9,88,54,94,40,81,26,1,24,4,2,3,3,49,2,22,62,0,2,0,0,22,0,5
