date,coronavirus,covid19,covid,19,nan,people,via,china,amp,trump,covid 19,coronavirus outbreak,coronavirus covid19,coronavirus pandemic,coronavirus cases,covid19 coronavirus,via youtube,due coronavirus,novel coronavirus,new york,covid 19 pandemic,coronavirus covid 19,covid 19 cases,covid 19 crisis,coronavirus death toll,due covid 19,bbc news coronavirus
2020-01-21,2,0,0,9,82,54,94,39,88,30,0,7,0,0,0,0,39,0,20,63,0,0,0,0,0,0,0
2020-01-22,4,0,0,8,76,55,93,45,90,32,0,15,0,1,0,0,47,0,24,63,0,0,0,0,1,0,2
2020-01-23,5,0,0,8,73,57,91,53,88,30,0,21,0,2,0,0,47,0,36,61,0,0,0,0,2,0,3
2020-01-24,8,0,0,9,66,55,91,64,91,30,0,32,0,2,1,0,36,0,44,62,0,0,0,0,4,0,3
2020-01-25,10,0,0,8,77,51,73,67,83,28,0,29,0,3,2,0,27,1,44,62,0,0,0,0,9,0,4
2020-01-26,11,0,0,8,83,59,58,63,78,27,0,34,0,4,2,0,28,1,41,64,0,0,0,0,13,0,5
2020-01-27,11,0,0,8,78,65,95,62,86,30,0,31,0,4,3,0,54,1,60,62,0,0,0,0,15,0,5
2020-01-28,15,0,0,9,76,62,93,64,90,33,0,30,0,5,4,0,35,1,66,63,0,0,0,0,21,0,8
2020-01-29,14,0,0,8,73,61,89,66,86,32,0,34,0,4,4,0,44,2,65,61,0,0,0,0,24,0,7
2020-01-30,16,0,0,9,71,64,89,67,89,29,0,32,0,4,5,0,43,3,100,61,0,0,0,0,25,0,9
2020-01-31,17,0,0,9,73,60,90,65,89,35,0,32,0,4,6,0,45,3,91,62,0,0,0,0,27,0,13
2020-02-01,12,0,0,9,74,54,70,57,85,33,0,25,0,3,5,0,34,2,51,58,0,0,0,0,21,0,6
2020-02-02,10,0,0,9,77,56,62,57,83,28,0,25,0,4,4,0,24,2,46,60,0,0,0,0,20,0,7
2020-02-03,9,0,0,9,71,59,98,56,85,42,0,26,0,7,4,0,44,2,62,63,0,0,0,0,21,0,5
2020-02-04,8,0,0,15,81,60,94,50,88,33,0,21,0,5,4,0,46,2,58,65,0,0,0,0,18,0,5
2020-02-05,7,0,0,9,80,59,92,45,89,77,0,20,0,3,3,0,47,2,52,62,0,0,0,0,19,0,6
2020-02-06,7,0,0,9,74,60,95,47,93,58,0,20,0,3,4,0,36,2,48,67,0,0,0,0,21,0,6
2020-02-07,8,0,0,9,77,58,96,49,89,35,0,26,0,3,4,0,47,2,48,62,0,0,0,0,23,0,7
2020-02-08,8,0,0,9,72,51,75,45,81,31,0,23,0,2,4,0,41,2,46,63,0,0,0,0,23,0,7
2020-02-09,7,0,0,22,77,55,64,43,83,29,0,30,0,3,3,0,36,2,47,68,0,0,0,0,22,0,6
2020-02-10,7,0,0,9,71,59,97,42,93,26,0,35,0,2,4,0,22,2,51,65,0,0,0,0,24,0,8
2020-02-11,7,0,0,8,72,61,100,41,89,27,0,32,1,2,3,1,40,2,45,63,0,1,0,0,21,0,6
2020-02-12,6,2,1,8,79,59,97,41,90,28,1,30,4,1,3,4,51,2,40,67,0,2,0,2,20,0,5
2020-02-13,7,2,1,9,77,61,94,44,96,25,1,30,3,3,4,3,34,2,28,64,0,3,0,2,24,0,7
2020-02-14,5,2,1,9,78,54,93,40,88,26,1,24,3,2,3,3,49,2,21,62,1,2,0,0,22,0,5
2020-02-15,5,1,1,9,83,51,74,38,87,23,1,19,2,2,3,2,36,1,17,63,1,2,0,0,18,1,4
2020-02-16,5,2,1,9,75,55,62,37,86,27,1,12,2,1,2,2,33,1,17,65,0,2,0,0,18,0,3
2020-02-17,4,2,1,9,80,53,96,36,87,24,1,11,4,1,2,4,28,2,16,60,1,2,0,0,17,0,5
2020-02-18,4,2,1,11,79,59,91,35,98,25,1,14,3,1,2,3,59,1,17,63,0,2,1,0,15,1,3
2020-02-19,4,2,1,18,80,60,96,35,91,28,1,12,2,1,2,2,50,1,18,63,1,2,1,0,14,0,3
2020-02-20,4,1,1,14,84,61,92,33,92,31,1,11,2,1,2,2,55,1,14,65,1,2,1,0,14,1,3
2020-02-21,7,2,1,10,80,57,91,33,92,29,2,12,3,1,2,3,51,2,12,65,1,2,1,2,17,0,3
2020-02-22,12,3,2,10,75,51,67,32,85,26,2,14,5,3,3,5,43,2,12,62,2,4,1,0,19,1,3
2020-02-23,17,4,2,11,80,54,54,34,82,29,3,20,6,5,4,6,29,3,12,64,2,6,2,2,19,1,8
2020-02-24,20,4,3,11,81,63,74,38,88,53,3,30,7,11,6,7,37,4,18,68,7,8,2,2,24,2,7
2020-02-25,25,6,4,12,81,66,77,39,93,43,4,40,10,18,8,10,37,5,22,66,10,9,2,0,28,0,15
2020-02-26,29,7,4,14,76,68,85,42,92,34,5,42,9,20,10,9,40,6,33,65,7,9,2,2,37,2,15
2020-02-27,28,8,5,14,83,68,88,42,91,28,5,44,11,19,11,11,36,7,35,65,9,11,2,3,35,2,16
2020-02-28,29,8,5,14,77,65,91,43,86,26,6,41,14,16,11,14,42,8,27,65,6,11,2,2,35,2,18
2020-02-29,27,8,5,13,77,58,68,40,86,28,5,31,13,12,10,13,29,7,20,62,6,12,3,2,31,2,13
2020-03-01,25,7,5,14,79,60,56,39,83,25,6,31,13,11,10,13,28,7,20,64,6,11,3,3,26,2,17
2020-03-02,30,10,7,16,81,69,95,40,89,25,8,45,15,12,15,15,47,11,26,71,7,15,4,3,20,4,22
2020-03-03,31,9,7,16,81,71,90,40,90,27,8,44,14,13,17,14,43,11,27,71,7,15,4,2,28,4,25
2020-03-04,33,11,8,16,72,72,90,40,91,35,9,43,19,11,20,19,30,11,29,72,7,16,5,2,27,4,29
2020-03-05,35,13,9,18,74,72,87,40,92,27,10,45,18,11,21,18,46,13,30,70,6,19,6,4,27,5,30
2020-03-06,37,12,10,19,87,68,86,39,84,26,12,43,20,10,21,20,43,12,26,70,6,20,6,0,25,6,26
2020-03-07,35,14,11,19,76,63,63,40,84,24,11,39,19,9,21,19,40,11,29,72,7,19,7,3,24,6,25
2020-03-08,39,15,12,20,75,65,50,40,83,23,13,43,22,9,24,22,31,11,27,76,7,23,8,4,27,6,30
2020-03-09,46,21,17,25,86,71,85,42,90,30,18,53,30,14,30,30,45,18,40,76,14,26,11,4,32,9,38
2020-03-10,54,25,20,28,72,76,81,46,89,31,21,63,32,17,36,32,43,25,46,80,12,32,15,6,37,16,45
2020-03-11,65,33,27,34,70,80,72,48,85,33,28,68,46,98,45,46,32,38,45,80,82,43,23,7,43,17,55
2020-03-12,96,51,43,50,79,100,69,66,83,75,46,100,76,100,72,76,25,80,69,82,100,74,33,15,70,43,100
2020-03-13,94,55,48,56,80,94,71,72,79,100,50,92,75,54,76,75,47,88,61,76,69,77,38,20,67,45,69
2020-03-14,86,57,48,55,83,86,52,71,80,64,50,83,71,40,78,71,38,68,53,67,50,74,43,23,61,40,76
2020-03-15,100,67,58,65,78,89,45,75,74,53,59,85,88,38,86,88,42,76,49,74,47,84,53,17,74,62,84
2020-03-16,98,84,71,77,71,90,70,75,78,59,74,87,100,41,84,100,33,100,53,76,59,100,57,38,91,93,98
2020-03-17,93,82,73,81,81,91,78,84,77,52,76,84,88,40,85,88,50,89,59,73,56,97,60,53,82,82,89
2020-03-18,90,85,77,84,73,95,74,91,77,61,79,71,90,38,85,90,56,79,52,73,60,90,61,60,73,84,87
2020-03-19,87,82,78,99,78,94,68,91,76,58,79,70,85,35,88,85,56,67,70,73,52,93,63,70,79,82,75
2020-03-20,82,87,85,94,71,93,70,84,75,56,85,74,88,36,91,88,60,68,58,92,60,89,70,68,84,88,64
2020-03-21,92,91,84,89,76,91,55,85,74,53,87,65,93,36,100,93,52,54,55,88,56,97,78,45,90,71,64
2020-03-22,93,99,93,96,75,99,45,85,70,51,94,65,99,38,99,99,34,57,62,93,57,97,85,68,100,85,69
2020-03-23,82,100,100,100,74,93,67,76,73,47,100,59,90,36,95,90,44,65,61,86,59,99,85,83,84,99,79
2020-03-24,75,93,94,95,76,93,63,100,70,51,91,56,84,32,95,84,41,48,45,87,63,89,89,75,83,100,61
2020-03-25,73,93,94,92,74,97,60,84,78,48,89,47,78,32,92,78,55,37,37,91,61,88,89,68,92,84,64
2020-03-26,72,93,93,91,85,96,62,81,78,45,88,48,78,32,96,78,45,33,44,97,57,94,96,84,87,76,55
2020-03-27,73,93,98,95,75,96,65,78,76,50,94,43,78,35,99,78,57,31,37,98,64,90,100,74,83,74,53
2020-03-28,72,92,99,96,84,94,49,71,76,48,96,42,77,34,97,77,45,26,37,96,59,88,100,56,93,65,53
2020-03-29,70,92,95,94,81,96,43,70,80,48,93,37,75,34,90,75,50,26,34,100,63,86,97,71,90,63,56
2020-03-30,59,88,91,90,80,92,69,63,75,45,89,34,68,29,73,68,51,27,29,93,60,80,84,76,71,78,43
2020-03-31,58,84,91,88,78,89,67,59,77,37,85,35,62,26,71,62,49,24,28,92,61,73,80,92,71,81,43
2020-04-01,54,84,92,88,77,90,69,59,82,37,85,32,62,29,68,62,54,24,29,90,62,75,77,86,72,74,40
2020-04-02,55,85,92,87,75,92,67,60,80,35,87,29,54,28,66,54,51,23,29,86,61,71,79,100,71,84,39
2020-04-03,70,81,93,86,80,86,68,55,78,36,85,28,68,29,63,68,72,21,27,88,55,79,73,77,65,67,38
2020-04-04,75,77,91,88,80,86,51,58,82,40,85,28,65,29,68,65,45,19,38,93,59,80,77,48,73,57,45
2020-04-05,74,74,89,86,89,84,44,55,82,39,80,29,65,28,67,65,54,17,29,92,58,77,80,54,74,56,51
2020-04-06,60,77,92,84,73,81,77,49,80,36,85,25,60,28,60,60,49,17,30,86,58,75,74,61,65,67,47
2020-04-07,62,72,85,78,76,77,80,46,85,40,80,22,52,25,57,52,48,16,23,83,52,65,67,60,60,53,48
2020-04-08,60,69,84,78,80,82,75,47,84,42,72,22,52,24,55,52,53,16,21,81,59,64,66,63,65,61,48
2020-04-09,59,68,80,76,86,80,74,45,86,37,71,20,51,24,53,51,48,14,25,82,55,62,63,40,64,61,37
2020-04-10,58,64,78,73,80,81,85,47,82,34,68,20,49,21,52,49,100,14,30,94,44,62,63,61,68,50,40
2020-04-11,48,60,77,71,72,78,55,46,84,33,68,18,42,17,50,42,62,12,22,88,44,55,63,47,69,44,40
2020-04-12,45,56,70,68,87,78,47,48,84,33,66,17,41,19,47,41,51,10,20,83,40,54,61,36,70,43,34
2020-04-13,59,60,81,77,80,78,79,49,87,44,73,18,48,20,46,48,56,13,26,81,47,63,60,59,61,49,35
2020-04-14,53,56,78,73,89,78,85,45,92,52,71,16,46,19,42,46,65,13,27,74,49,62,54,48,50,59,32
2020-04-15,54,58,78,73,81,80,78,45,88,53,71,15,47,20,41,47,40,14,22,73,47,68,53,72,49,56,32
2020-04-16,52,56,81,76,88,80,76,48,91,49,72,15,46,19,42,46,63,12,26,73,50,67,57,69,45,48,34
2020-04-17,53,55,80,72,73,80,71,52,85,43,68,16,43,17,41,43,45,12,23,68,41,65,57,54,51,46,29
2020-04-18,51,51,72,67,86,75,53,49,95,41,64,15,33,17,40,33,52,11,24,69,36,57,56,41,56,43,28
2020-04-19,45,49,73,79,89,77,47,46,90,45,64,15,41,17,41,41,44,10,23,70,42,58,57,49,53,42,29
2020-04-20,40,49,72,72,84,76,74,42,92,35,60,13,37,16,36,37,25,10,20,64,47,54,51,38,45,43,28
2020-04-21,40,47,72,66,82,75,63,41,98,42,60,13,38,14,34,38,32,10,15,64,43,54,50,45,42,55,29
2020-04-22,33,47,72,65,83,77,70,41,90,35,61,12,36,16,33,36,49,11,20,65,45,52,47,57,41,41,23
2020-04-23,41,47,70,62,81,76,68,41,95,33,58,12,34,14,32,34,51,10,18,66,46,53,46,52,39,38,23
2020-04-24,41,45,67,59,79,77,67,39,90,87,54,12,34,13,31,34,48,9,18,66,37,49,43,52,42,41,25
2020-04-25,38,43,64,57,82,74,49,39,95,66,52,12,32,13,32,32,38,7,20,68,37,44,46,43,44,36,25
2020-04-26,37,41,65,57,100,74,48,40,96,50,53,11,30,15,32,30,49,8,16,66,38,44,47,34,43,33,22
2020-04-27,29,44,72,60,82,78,72,37,94,40,57,12,28,13,30,28,51,9,14,62,46,44,45,50,38,44,22
2020-04-28,28,41,70,58,86,78,71,37,94,35,55,10,26,13,29,26,36,7,17,62,41,44,40,46,37,40,25
2020-04-29,27,42,68,59,80,80,68,38,100,31,55,10,29,13,27,29,42,8,15,60,40,43,38,56,39,43,27
2020-04-30,25,40,67,57,86,78,70,37,97,31,52,10,25,13,26,25,59,8,15,62,37,37,39,47,35,46,21
2020-05-01,27,39,66,56,83,81,52,40,100,33,54,9,26,12,28,26,52,8,13,65,42,38,40,44,36,38,21
