date,coronavirus,covid19,covid,19,nan,people,via,china,amp,trump,covid 19,coronavirus outbreak,coronavirus covid19,coronavirus pandemic,coronavirus cases,covid19 coronavirus,via youtube,due coronavirus,novel coronavirus,new york,covid 19 pandemic,coronavirus covid 19,covid 19 cases,covid 19 crisis,coronavirus death toll,due covid 19,bbc news coronavirus
2020-01-21,2,0,0,9,85,54,95,40,88,30,0,7,0,0,0,0,54,0,20,63,0,0,0,0,0,0,0
2020-01-22,4,0,0,8,84,55,92,45,90,32,0,15,0,1,0,0,46,0,27,64,0,0,0,0,1,0,1
2020-01-23,5,0,0,8,74,57,90,55,88,30,0,21,0,2,0,0,54,0,35,61,0,0,0,0,2,0,3
2020-01-24,8,0,0,9,77,55,91,65,91,30,0,32,0,2,1,0,56,0,44,63,0,0,0,0,4,0,4
2020-01-25,10,0,0,8,76,51,73,68,83,28,0,29,0,3,2,0,28,1,42,64,0,0,0,0,9,0,3
2020-01-26,11,0,0,8,85,59,58,62,78,27,0,34,0,4,2,0,24,1,45,63,0,0,0,0,13,0,5
2020-01-27,11,0,0,8,79,65,92,63,86,30,0,31,0,4,3,0,69,1,61,62,0,0,0,0,15,0,5
2020-01-28,14,0,0,9,82,62,93,66,90,33,0,30,0,5,4,0,43,1,65,63,0,0,0,0,21,0,8
2020-01-29,14,0,0,8,79,61,88,66,86,32,0,34,0,4,4,0,45,2,68,62,0,0,0,0,24,0,7
2020-01-30,16,0,0,9,78,64,91,67,89,29,0,32,0,4,5,0,49,3,100,61,0,0,0,0,25,0,10
2020-01-31,17,0,0,9,80,60,89,65,89,35,0,32,0,4,6,0,50,2,91,63,0,0,0,0,27,0,13
2020-02-01,12,0,0,9,76,54,70,57,85,33,0,25,0,3,5,0,33,2,56,58,0,0,0,0,21,0,6
2020-02-02,10,0,0,9,88,56,61,58,83,28,0,25,0,4,4,0,33,3,56,60,0,0,0,0,20,0,7
2020-02-03,9,0,0,9,77,59,100,56,85,42,0,26,0,7,4,0,57,2,62,64,0,0,0,0,21,0,5
2020-02-04,8,0,0,15,82,60,94,51,88,33,0,21,0,5,4,0,50,2,56,65,0,0,0,0,18,0,5
2020-02-05,7,0,0,9,86,59,93,46,89,77,0,20,0,3,3,0,50,2,54,62,0,0,0,0,19,0,5
2020-02-06,7,0,0,9,82,60,93,48,93,58,0,20,0,3,4,0,30,2,56,66,0,0,0,0,21,0,7
2020-02-07,8,0,0,9,85,58,95,49,89,35,0,26,0,3,4,0,64,2,51,66,0,0,0,0,23,0,7
2020-02-08,8,0,0,9,74,51,74,46,81,31,0,23,0,2,4,0,58,2,42,65,0,0,0,0,23,0,7
2020-02-09,7,0,0,22,81,55,63,42,83,29,0,30,0,3,3,0,45,2,46,68,0,0,0,0,22,0,7
2020-02-10,7,0,0,9,79,59,98,44,93,26,0,35,0,2,4,0,32,2,51,67,0,0,0,0,24,0,9
2020-02-11,7,0,0,8,75,61,99,43,89,27,0,32,1,2,3,1,63,2,48,64,0,1,0,0,21,0,6
2020-02-12,6,2,1,8,82,59,97,42,90,28,1,30,4,1,3,4,58,2,40,67,0,2,0,2,20,0,5
2020-02-13,7,2,1,9,82,61,94,45,96,25,1,30,3,3,4,3,40,3,30,64,0,2,0,2,24,0,7
2020-02-14,5,2,1,9,88,54,94,39,88,26,1,24,3,2,3,3,55,2,22,64,1,2,0,0,22,0,5
2020-02-15,5,2,1,9,86,51,74,39,87,23,1,19,2,2,3,2,43,1,18,64,1,3,0,0,18,1,4
2020-02-16,5,2,1,9,84,55,61,38,86,27,1,12,2,1,2,2,33,1,18,66,0,2,0,0,18,0,4
2020-02-17,5,2,1,9,85,53,96,37,87,24,1,11,4,1,2,4,24,1,17,62,1,2,0,0,17,0,5
2020-02-18,4,2,1,11,83,59,92,35,98,25,1,14,3,1,2,3,70,1,20,63,0,2,1,0,15,1,3
2020-02-19,4,2,1,18,83,60,94,35,91,28,1,12,2,1,2,2,60,1,19,64,1,2,1,0,14,0,3
2020-02-20,4,2,1,14,86,61,93,33,92,31,1,11,2,1,2,2,68,1,15,65,1,2,1,0,14,1,3
2020-02-21,7,2,1,10,85,57,91,33,92,29,2,12,3,1,3,3,58,2,14,66,1,3,1,2,17,0,3
2020-02-22,12,2,2,10,85,51,67,32,85,26,2,14,5,3,3,5,51,2,11,63,2,4,1,0,19,1,3
2020-02-23,17,3,2,11,88,54,55,33,82,29,3,20,6,5,4,6,23,3,14,63,2,6,2,2,19,1,7
2020-02-24,20,4,3,11,91,63,75,38,88,53,4,30,7,11,6,7,50,4,21,68,7,7,2,2,24,2,8
2020-02-25,25,6,4,12,85,66,75,40,93,43,4,40,10,18,8,10,50,5,22,67,10,9,2,0,28,0,15
2020-02-26,28,7,4,14,85,68,85,43,92,34,5,42,9,20,10,9,48,6,30,65,7,10,2,2,37,2,17
2020-02-27,28,7,5,14,90,68,89,42,91,28,6,44,11,19,11,11,49,6,31,67,9,11,2,3,35,2,16
2020-02-28,29,8,5,14,85,65,92,44,86,26,6,41,14,16,11,14,53,7,27,66,6,12,2,2,35,2,19
2020-02-29,26,8,5,13,83,58,68,41,86,28,6,31,13,12,10,13,26,6,22,64,6,11,3,2,31,2,14
2020-03-01,25,7,5,14,81,60,57,40,83,25,6,31,13,11,10,13,40,7,23,65,6,11,3,3,26,2,17
2020-03-02,30,10,7,16,88,69,95,41,89,25,8,45,15,12,15,15,56,11,28,72,7,15,4,3,20,4,23
2020-03-03,31,10,7,16,85,71,92,40,90,27,8,44,14,13,17,14,51,11,30,73,7,16,4,2,28,4,27
2020-03-04,33,11,8,16,79,72,89,41,91,35,9,43,19,11,20,19,33,11,33,73,7,17,5,2,27,4,31
2020-03-05,35,13,9,18,85,72,87,41,92,27,10,45,18,11,21,18,46,13,31,71,6,20,6,4,27,5,33
2020-03-06,36,12,10,19,94,68,87,40,84,26,12,43,20,10,20,20,50,12,28,71,6,21,6,0,25,6,28
2020-03-07,35,14,11,19,84,63,62,40,84,24,11,39,19,9,22,19,32,11,27,73,7,19,7,3,24,6,26
2020-03-08,39,15,12,20,79,65,50,41,83,23,13,43,22,9,24,22,52,11,28,76,7,22,8,4,27,6,31
2020-03-09,46,20,16,25,88,71,85,43,90,30,18,53,30,14,29,30,51,18,40,77,14,27,11,4,32,9,42
2020-03-10,55,25,20,28,80,76,81,48,89,31,21,63,32,17,36,32,43,24,42,80,12,33,15,6,37,16,46
2020-03-11,64,32,27,34,76,80,73,49,85,33,28,68,46,98,45,46,35,36,47,80,82,44,23,7,43,17,55
2020-03-12,96,49,43,50,86,100,69,68,83,75,45,100,76,100,72,76,30,78,63,82,100,74,33,15,70,43,99
2020-03-13,93,55,47,56,89,94,70,73,79,100,51,92,75,54,74,75,62,89,62,78,69,78,38,20,67,45,73
2020-03-14,86,57,49,55,89,86,53,72,80,64,51,83,71,40,78,71,56,66,55,67,50,75,43,23,61,40,81
2020-03-15,100,67,58,65,80,89,45,76,74,53,61,85,88,38,84,88,49,75,51,76,47,87,53,17,74,62,88
2020-03-16,99,83,71,77,81,90,70,75,78,59,73,87,100,41,83,100,37,100,57,78,59,98,57,38,91,93,100
2020-03-17,93,83,71,81,84,91,77,86,77,52,77,84,88,40,83,88,63,86,61,75,56,98,60,53,82,82,91
2020-03-18,89,84,77,84,86,95,74,95,77,61,79,71,90,38,85,90,64,78,57,75,60,92,61,60,73,84,90
2020-03-19,86,83,78,99,85,94,68,91,76,58,81,70,85,35,87,85,48,65,68,73,52,93,63,70,79,82,76
2020-03-20,82,88,85,94,84,93,71,84,75,56,85,74,88,36,90,88,65,66,58,92,60,90,70,68,84,88,69
2020-03-21,88,91,83,89,85,91,56,86,74,53,87,65,93,36,100,93,65,53,56,90,56,98,78,45,90,71,68
2020-03-22,92,98,92,96,80,99,45,87,70,51,95,65,99,38,97,99,39,58,64,95,57,100,85,68,100,85,71
2020-03-23,82,100,100,100,81,93,67,78,73,47,100,59,90,36,95,90,65,62,58,87,59,98,85,83,84,99,83
2020-03-24,74,93,91,95,86,93,63,100,70,51,94,56,84,32,93,84,37,46,48,88,63,92,89,75,83,100,63
2020-03-25,72,93,92,92,81,97,61,86,78,48,93,47,78,32,92,78,57,38,38,92,61,90,89,68,92,84,66
