date,coronavirus,covid19,covid,19,nan,people,via,china,amp,trump,covid 19,coronavirus outbreak,coronavirus covid19,coronavirus pandemic,coronavirus cases,covid19 coronavirus,via youtube,due coronavirus,novel coronavirus,new york,covid 19 pandemic,coronavirus covid 19,covid 19 cases,covid 19 crisis,coronavirus death toll,due covid 19,bbc news coronavirus
2020-01-21,2,0,0,9,84,54,95,39,88,30,0,7,0,0,0,0,39,0,20,63,0,0,0,0,0,0,0
2020-01-22,4,0,0,8,86,55,92,45,90,32,0,15,0,1,0,0,47,0,27,64,0,0,0,0,1,0,2
2020-01-23,5,0,0,8,72,57,90,53,88,30,0,20,0,2,0,0,47,0,35,61,0,0,0,0,2,0,3
2020-01-24,8,0,0,9,84,55,91,64,91,30,0,34,0,2,1,0,36,0,44,63,0,0,0,0,4,0,3
2020-01-25,10,0,0,8,71,51,73,67,83,28,0,31,0,3,2,0,27,1,42,64,0,0,0,0,9,0,4
2020-01-26,11,0,0,8,82,59,58,63,78,27,0,32,0,4,2,0,28,1,45,63,0,0,0,0,13,0,5
2020-01-27,11,0,0,8,76,65,92,62,86,30,0,30,0,4,3,0,54,1,61,62,0,0,0,0,15,0,5
2020-01-28,14,0,0,9,84,62,93,64,90,33,0,30,0,5,4,0,35,1,65,63,0,0,0,0,21,0,8
2020-01-29,14,0,0,8,81,61,88,66,86,32,0,34,0,4,4,0,44,2,68,62,0,0,0,0,24,0,7
2020-01-30,16,0,0,9,81,64,91,67,89,29,0,30,0,4,5,0,43,3,100,61,0,0,0,0,25,0,9
2020-01-31,17,0,0,9,83,60,89,65,89,35,0,31,0,4,6,0,45,3,91,63,0,0,0,0,27,0,13
2020-02-01,12,0,0,9,74,54,70,57,85,33,0,25,0,3,5,0,34,2,56,58,0,0,0,0,21,0,6
2020-02-02,10,0,0,9,95,56,61,57,83,28,0,27,0,4,4,0,24,2,56,60,0,0,0,0,20,0,7
2020-02-03,9,0,0,9,78,59,100,56,85,42,0,28,0,7,4,0,44,2,62,64,0,0,0,0,21,0,5
2020-02-04,8,0,0,15,77,60,94,50,88,33,0,21,0,5,4,0,46,2,56,65,0,0,0,0,18,0,5
2020-02-05,7,0,0,9,86,59,93,45,89,77,0,22,0,3,3,0,47,2,54,62,0,0,0,0,19,0,6
2020-02-06,7,0,0,9,85,60,93,47,93,58,0,20,0,3,4,0,36,2,56,66,0,0,0,0,21,0,6
2020-02-07,8,0,0,9,89,58,95,49,89,35,0,27,0,3,4,0,47,2,51,66,0,0,0,0,23,0,7
2020-02-08,8,0,0,9,71,51,74,45,81,31,0,22,0,2,4,0,41,2,42,65,0,0,0,0,23,0,7
2020-02-09,7,0,0,22,81,55,63,43,83,29,0,30,0,3,3,0,36,2,46,68,0,0,0,0,22,0,6
2020-02-10,7,0,0,9,83,59,98,42,93,26,0,36,0,2,4,0,22,2,51,67,0,0,0,0,24,0,8
2020-02-11,7,0,0,8,74,61,99,41,89,27,0,31,1,2,3,1,40,2,48,64,0,1,0,0,21,0,6
2020-02-12,6,2,1,8,79,59,97,41,90,28,1,32,4,1,3,4,51,2,40,67,0,2,0,2,20,0,5
2020-02-13,7,2,1,9,81,61,94,44,96,25,1,28,3,3,4,3,34,2,30,64,0,2,0,2,24,0,7
2020-02-14,5,2,1,9,93,54,94,40,88,26,1,21,3,2,3,3,49,2,22,64,1,2,0,0,22,0,5
2020-02-15,5,2,1,9,85,51,74,38,87,23,1,19,2,2,3,2,36,1,18,64,1,3,0,0,18,0,4
2020-02-16,5,2,1,9,88,55,61,37,86,27,1,12,2,1,2,2,33,1,18,66,0,2,0,0,18,0,3
2020-02-17,5,2,1,9,85,53,96,36,87,24,1,10,4,1,2,4,28,2,17,62,1,2,0,0,17,0,5
2020-02-18,4,2,1,11,82,59,92,35,98,25,1,13,3,1,2,3,59,1,20,63,0,2,1,0,15,1,3
2020-02-19,4,2,1,18,82,60,94,35,91,28,1,12,2,1,2,2,50,1,19,64,1,2,1,0,14,1,3
2020-02-20,4,2,1,14,84,61,93,33,92,31,1,10,2,1,2,2,55,1,15,65,1,2,1,0,14,1,3
2020-02-21,7,2,1,10,84,57,91,33,92,29,2,13,3,1,3,3,51,2,14,66,1,3,1,2,17,1,3
2020-02-22,12,2,2,10,91,51,67,32,85,26,2,15,5,3,3,5,43,2,11,63,2,4,1,0,19,1,3
2020-02-23,17,3,2,11,91,54,55,34,82,29,3,19,6,5,4,6,29,3,14,63,2,6,2,2,19,2,8
2020-02-24,20,4,3,11,97,63,75,38,88,53,4,27,7,11,6,7,37,4,21,68,7,7,2,2,24,2,7
2020-02-25,25,6,4,12,85,66,75,39,93,43,4,36,10,18,8,10,37,5,22,67,10,9,2,0,28,0,15
2020-02-26,28,7,4,14,89,68,85,42,92,34,5,40,9,20,10,9,40,6,30,65,7,10,2,2,37,2,15
2020-02-27,28,7,5,14,93,68,89,42,91,28,6,42,11,19,11,11,36,7,31,67,9,11,2,3,35,1,16
2020-02-28,29,8,5,14,89,65,92,43,86,26,6,41,14,16,11,14,42,8,27,66,6,12,2,2,35,2,18
2020-02-29,26,8,5,13,85,58,68,40,86,28,6,31,13,12,10,13,29,7,22,64,6,11,3,2,31,2,13
2020-03-01,25,7,5,14,78,60,57,39,83,25,6,32,13,11,10,13,28,7,23,65,6,11,3,3,26,2,17
2020-03-02,30,10,7,16,91,69,95,40,89,25,8,45,15,12,15,15,47,11,28,72,7,15,4,3,20,4,22
2020-03-03,31,10,7,16,84,71,92,40,90,27,8,41,14,13,17,14,43,11,30,73,7,16,4,2,28,3,25
