date,coronavirus,covid19,covid,19,nan,people,via,china,amp,trump,virus,pandemic,us,cases,new,news,like,get,wuhan,one,health,di,world,si,time,il,help,crisis,home,need,covid 19,coronavirus outbreak,coronavirus covid19,coronavirus pandemic,coronavirus cases,covid19 coronavirus,via youtube,due coronavirus,novel coronavirus,new york,death toll,new coronavirus,amid coronavirus,19 pandemic,stay home,coronavirus crisis,coronavirus covid,china coronavirus,coronavirus via,coronavirus china,social distancing,new cases,il coronavirus,corona virus,positive coronavirus,du coronavirus,spread coronavirus,wuhan coronavirus,coronavirus death,confirmed cases,covid 19 pandemic,coronavirus covid 19,covid 19 cases,covid 19 crisis,coronavirus death toll,due covid 19,bbc news coronavirus,covid 19 outbreak,covid 19 patients,covid 19 coronavirus,coronavirus live updates,covid 19 via,new york times,fight covid 19,positive covid 19,twitter web app,amid coronavirus outbreak,amid covid 19,world health organization,tested positive coronavirus,new coronavirus cases,tests positive coronavirus,coronavirus 2019 ncov,covid 19 virus,coronavirus task force
2020-01-21,2,0,0,9,84,55,98,39,98,30,8,1,55,3,49,40,79,61,29,75,70,81,53,67,47,79,75,52,57,87,0,8,0,0,0,0,53,0,22,63,1,2,0,0,2,0,0,12,2,12,0,1,0,2,0,0,2,40,1,0,0,0,0,0,0,0,1,0,0,0,0,0,47,0,0,21,0,0,5,0,0,0,8,0,1
2020-01-22,4,0,0,8,86,56,91,45,93,32,12,2,56,4,50,41,76,62,43,73,66,83,54,65,46,79,73,48,56,86,0,13,0,1,0,0,53,0,30,64,2,3,0,0,2,2,0,16,2,16,0,1,0,3,1,1,5,43,1,0,0,0,0,0,0,0,1,0,0,0,0,0,47,0,0,74,0,0,8,0,0,0,31,0,0
2020-01-23,5,0,0,8,82,58,89,53,98,30,17,2,55,4,53,41,79,62,74,74,67,78,51,66,46,75,76,51,57,85,0,25,0,2,0,0,36,0,40,62,3,3,0,0,2,2,0,25,4,25,0,1,2,6,1,1,8,56,2,1,0,0,0,0,2,0,4,0,0,0,0,0,45,0,0,42,0,0,11,1,0,2,33,0,1
2020-01-24,8,0,0,8,75,57,86,62,88,31,21,3,54,4,81,41,79,60,79,76,61,72,53,65,47,79,71,46,56,82,0,26,0,3,1,0,41,0,43,63,6,6,2,0,2,2,0,36,6,36,0,1,3,9,1,3,14,73,5,2,0,0,0,0,5,0,4,0,0,0,2,0,45,0,0,86,16,0,8,0,1,0,53,0,0
2020-01-25,10,0,0,8,83,51,67,67,87,29,25,3,49,4,78,38,83,61,95,74,39,77,56,65,45,81,61,36,58,80,0,30,0,4,1,0,41,1,52,60,11,12,2,0,2,3,0,42,8,42,0,2,4,14,1,7,23,83,8,4,0,0,0,0,10,0,4,0,0,0,3,0,39,0,0,36,36,0,6,0,1,0,56,0,0
2020-01-26,10,0,0,8,85,58,53,63,78,27,27,4,49,4,75,46,80,59,93,72,37,78,55,66,50,77,60,38,56,76,0,31,0,4,2,0,29,1,45,61,13,9,3,0,2,5,0,41,6,41,0,2,4,18,2,4,32,82,12,4,0,0,0,0,13,0,5,0,0,0,5,0,52,0,0,34,0,0,7,0,1,0,53,0,0
2020-01-27,11,0,0,8,83,67,88,62,90,30,31,4,56,5,49,47,76,59,96,72,67,80,51,63,47,80,72,43,57,83,0,29,0,4,3,0,55,1,60,62,16,7,4,0,2,2,0,43,9,43,0,2,4,21,2,6,37,85,15,6,0,0,0,0,17,0,5,0,0,0,5,0,60,0,0,41,15,0,12,0,1,0,66,0,0
2020-01-28,14,0,0,9,89,64,89,65,88,33,31,4,57,6,47,46,77,62,100,72,69,78,55,65,47,76,76,44,57,87,0,33,0,4,4,0,62,2,73,61,19,11,5,0,2,3,0,46,10,46,0,3,7,22,2,5,37,100,16,8,0,0,0,0,20,0,7,0,0,0,6,0,49,0,0,73,15,0,17,1,2,2,93,0,1
2020-01-29,13,0,0,8,81,62,88,65,86,32,28,3,57,6,74,45,75,60,94,71,68,77,52,64,47,78,74,43,56,82,0,29,0,3,4,0,39,2,73,61,22,9,7,0,2,4,0,46,15,46,0,2,7,20,2,6,35,84,16,8,0,0,0,0,25,0,7,0,0,0,7,0,47,0,0,41,23,0,16,1,2,0,67,0,2
2020-01-30,15,0,0,8,75,65,88,67,88,29,31,4,57,7,48,47,78,61,90,74,72,80,54,66,49,77,74,43,56,83,0,33,0,4,5,0,70,3,100,61,23,9,2,0,2,7,0,46,33,46,0,2,11,23,3,6,43,90,18,10,0,0,0,0,26,0,10,0,0,0,9,0,48,0,0,21,16,0,45,1,1,0,87,0,2
